group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 02 both parts together,,,,,1137600.0,ns,5
day 02 both parts together,,,,,2220800.0,ns,10
day 02 both parts together,,,,,3301800.0,ns,15
day 02 both parts together,,,,,4391500.0,ns,20
day 02 both parts together,,,,,5649600.0,ns,25
day 02 both parts together,,,,,6737200.0,ns,30
day 02 both parts together,,,,,7937800.0,ns,35
day 02 both parts together,,,,,9013800.0,ns,40
day 02 both parts together,,,,,10056000.0,ns,45
day 02 both parts together,,,,,11493800.0,ns,50
day 02 both parts together,,,,,13034200.0,ns,55
day 02 both parts together,,,,,13867200.0,ns,60
day 02 both parts together,,,,,14703500.0,ns,65
day 02 both parts together,,,,,16182300.0,ns,70
day 02 both parts together,,,,,16993200.0,ns,75
day 02 both parts together,,,,,18021400.0,ns,80
day 02 both parts together,,,,,18763900.0,ns,85
day 02 both parts together,,,,,20102500.0,ns,90
day 02 both parts together,,,,,21419400.0,ns,95
day 02 both parts together,,,,,22529700.0,ns,100
day 02 both parts together,,,,,23721600.0,ns,105
day 02 both parts together,,,,,25213900.0,ns,110
day 02 both parts together,,,,,25915800.0,ns,115
day 02 both parts together,,,,,26652700.0,ns,120
day 02 both parts together,,,,,27974300.0,ns,125
day 02 both parts together,,,,,29079800.0,ns,130
day 02 both parts together,,,,,30375000.0,ns,135
day 02 both parts together,,,,,31226300.0,ns,140
day 02 both parts together,,,,,32285800.0,ns,145
day 02 both parts together,,,,,33884200.0,ns,150
day 02 both parts together,,,,,34960700.0,ns,155
day 02 both parts together,,,,,36165000.0,ns,160
day 02 both parts together,,,,,37589600.0,ns,165
day 02 both parts together,,,,,37725300.0,ns,170
day 02 both parts together,,,,,39245500.0,ns,175
day 02 both parts together,,,,,39891000.0,ns,180
day 02 both parts together,,,,,40759100.0,ns,185
day 02 both parts together,,,,,42430000.0,ns,190
day 02 both parts together,,,,,43338800.0,ns,195
day 02 both parts together,,,,,45060900.0,ns,200
day 02 both parts together,,,,,45675300.0,ns,205
day 02 both parts together,,,,,46845300.0,ns,210
day 02 both parts together,,,,,48903100.0,ns,215
day 02 both parts together,,,,,50005000.0,ns,220
day 02 both parts together,,,,,50486800.0,ns,225
day 02 both parts together,,,,,51364100.0,ns,230
day 02 both parts together,,,,,52224200.0,ns,235
day 02 both parts together,,,,,55633500.0,ns,240
day 02 both parts together,,,,,55091800.0,ns,245
day 02 both parts together,,,,,56167900.0,ns,250
day 02 both parts together,,,,,56597300.0,ns,255
day 02 both parts together,,,,,57894500.0,ns,260
day 02 both parts together,,,,,59542600.0,ns,265
day 02 both parts together,,,,,60053800.0,ns,270
day 02 both parts together,,,,,61000900.0,ns,275
day 02 both parts together,,,,,63046300.0,ns,280
day 02 both parts together,,,,,63908300.0,ns,285
day 02 both parts together,,,,,65175000.0,ns,290
day 02 both parts together,,,,,65741700.0,ns,295
day 02 both parts together,,,,,66674900.0,ns,300
day 02 both parts together,,,,,68702700.0,ns,305
day 02 both parts together,,,,,69919000.0,ns,310
day 02 both parts together,,,,,71574300.0,ns,315
day 02 both parts together,,,,,72712200.0,ns,320
day 02 both parts together,,,,,72721700.0,ns,325
day 02 both parts together,,,,,73531000.0,ns,330
day 02 both parts together,,,,,74476600.0,ns,335
day 02 both parts together,,,,,76039800.0,ns,340
day 02 both parts together,,,,,77712300.0,ns,345
day 02 both parts together,,,,,78374300.0,ns,350
day 02 both parts together,,,,,78693400.0,ns,355
day 02 both parts together,,,,,81276500.0,ns,360
day 02 both parts together,,,,,81613800.0,ns,365
day 02 both parts together,,,,,84432700.0,ns,370
day 02 both parts together,,,,,84491200.0,ns,375
day 02 both parts together,,,,,86123700.0,ns,380
day 02 both parts together,,,,,86254400.0,ns,385
day 02 both parts together,,,,,87012400.0,ns,390
day 02 both parts together,,,,,87862800.0,ns,395
day 02 both parts together,,,,,89762300.0,ns,400
day 02 both parts together,,,,,90736900.0,ns,405
day 02 both parts together,,,,,91753700.0,ns,410
day 02 both parts together,,,,,93475200.0,ns,415
day 02 both parts together,,,,,95087200.0,ns,420
day 02 both parts together,,,,,96600100.0,ns,425
day 02 both parts together,,,,,95901900.0,ns,430
day 02 both parts together,,,,,97636000.0,ns,435
day 02 both parts together,,,,,98885000.0,ns,440
day 02 both parts together,,,,,99954800.0,ns,445
day 02 both parts together,,,,,100823900.0,ns,450
day 02 both parts together,,,,,101346100.0,ns,455
day 02 both parts together,,,,,103001300.0,ns,460
day 02 both parts together,,,,,103299500.0,ns,465
day 02 both parts together,,,,,105241200.0,ns,470
day 02 both parts together,,,,,106781000.0,ns,475
day 02 both parts together,,,,,107498400.0,ns,480
day 02 both parts together,,,,,112327300.0,ns,485
day 02 both parts together,,,,,112202700.0,ns,490
day 02 both parts together,,,,,111290100.0,ns,495
day 02 both parts together,,,,,111475100.0,ns,500
