group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 02 part two,,,,,1054300.0,ns,9
day 02 part two,,,,,2060500.0,ns,18
day 02 part two,,,,,3082800.0,ns,27
day 02 part two,,,,,4228500.0,ns,36
day 02 part two,,,,,5120400.0,ns,45
day 02 part two,,,,,6020200.0,ns,54
day 02 part two,,,,,7646400.0,ns,63
day 02 part two,,,,,8020900.0,ns,72
day 02 part two,,,,,9106900.0,ns,81
day 02 part two,,,,,10344600.0,ns,90
day 02 part two,,,,,11274100.0,ns,99
day 02 part two,,,,,12372500.0,ns,108
day 02 part two,,,,,13694300.0,ns,117
day 02 part two,,,,,14227100.0,ns,126
day 02 part two,,,,,15331700.0,ns,135
day 02 part two,,,,,16271400.0,ns,144
day 02 part two,,,,,17416400.0,ns,153
day 02 part two,,,,,18409400.0,ns,162
day 02 part two,,,,,19567000.0,ns,171
day 02 part two,,,,,20815100.0,ns,180
day 02 part two,,,,,22338100.0,ns,189
day 02 part two,,,,,22764200.0,ns,198
day 02 part two,,,,,23919400.0,ns,207
day 02 part two,,,,,24737300.0,ns,216
day 02 part two,,,,,26077100.0,ns,225
day 02 part two,,,,,26588200.0,ns,234
day 02 part two,,,,,27945200.0,ns,243
day 02 part two,,,,,29319200.0,ns,252
day 02 part two,,,,,29780300.0,ns,261
day 02 part two,,,,,30372100.0,ns,270
day 02 part two,,,,,31784600.0,ns,279
day 02 part two,,,,,32258900.0,ns,288
day 02 part two,,,,,33849800.0,ns,297
day 02 part two,,,,,34148500.0,ns,306
day 02 part two,,,,,35704300.0,ns,315
day 02 part two,,,,,37298500.0,ns,324
day 02 part two,,,,,37889400.0,ns,333
day 02 part two,,,,,39213500.0,ns,342
day 02 part two,,,,,39929100.0,ns,351
day 02 part two,,,,,40753100.0,ns,360
day 02 part two,,,,,42229900.0,ns,369
day 02 part two,,,,,42857700.0,ns,378
day 02 part two,,,,,44030900.0,ns,387
day 02 part two,,,,,44560200.0,ns,396
day 02 part two,,,,,45712400.0,ns,405
day 02 part two,,,,,47328500.0,ns,414
day 02 part two,,,,,47814700.0,ns,423
day 02 part two,,,,,49453700.0,ns,432
day 02 part two,,,,,50786000.0,ns,441
day 02 part two,,,,,51736600.0,ns,450
day 02 part two,,,,,52128200.0,ns,459
day 02 part two,,,,,54100700.0,ns,468
day 02 part two,,,,,54028900.0,ns,477
day 02 part two,,,,,55697100.0,ns,486
day 02 part two,,,,,56419000.0,ns,495
day 02 part two,,,,,56864300.0,ns,504
day 02 part two,,,,,58779000.0,ns,513
day 02 part two,,,,,59119000.0,ns,522
day 02 part two,,,,,60485600.0,ns,531
day 02 part two,,,,,61374600.0,ns,540
day 02 part two,,,,,62213400.0,ns,549
day 02 part two,,,,,63183700.0,ns,558
day 02 part two,,,,,64850900.0,ns,567
day 02 part two,,,,,65662100.0,ns,576
day 02 part two,,,,,66859400.0,ns,585
day 02 part two,,,,,68357500.0,ns,594
day 02 part two,,,,,68280500.0,ns,603
day 02 part two,,,,,69341500.0,ns,612
day 02 part two,,,,,71743000.0,ns,621
day 02 part two,,,,,71827700.0,ns,630
day 02 part two,,,,,72987900.0,ns,639
day 02 part two,,,,,73627300.0,ns,648
day 02 part two,,,,,75186900.0,ns,657
day 02 part two,,,,,75488800.0,ns,666
day 02 part two,,,,,77553400.0,ns,675
day 02 part two,,,,,77205000.0,ns,684
day 02 part two,,,,,79151800.0,ns,693
day 02 part two,,,,,79517800.0,ns,702
day 02 part two,,,,,81300900.0,ns,711
day 02 part two,,,,,83841400.0,ns,720
day 02 part two,,,,,83618500.0,ns,729
day 02 part two,,,,,85442100.0,ns,738
day 02 part two,,,,,85111100.0,ns,747
day 02 part two,,,,,86288400.0,ns,756
day 02 part two,,,,,87128300.0,ns,765
day 02 part two,,,,,88497500.0,ns,774
day 02 part two,,,,,89566500.0,ns,783
day 02 part two,,,,,89178600.0,ns,792
day 02 part two,,,,,90679900.0,ns,801
day 02 part two,,,,,91522500.0,ns,810
day 02 part two,,,,,94978400.0,ns,819
day 02 part two,,,,,93784200.0,ns,828
day 02 part two,,,,,96134600.0,ns,837
day 02 part two,,,,,96762700.0,ns,846
day 02 part two,,,,,96968800.0,ns,855
day 02 part two,,,,,98697600.0,ns,864
day 02 part two,,,,,99235300.0,ns,873
day 02 part two,,,,,100252700.0,ns,882
day 02 part two,,,,,100634200.0,ns,891
day 02 part two,,,,,102646700.0,ns,900
