group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 03 part one,,,,,1000800.0,ns,70
day 03 part one,,,,,1989300.0,ns,140
day 03 part one,,,,,2976900.0,ns,210
day 03 part one,,,,,3959500.0,ns,280
day 03 part one,,,,,5271800.0,ns,350
day 03 part one,,,,,5933900.0,ns,420
day 03 part one,,,,,6803300.0,ns,490
day 03 part one,,,,,7811700.0,ns,560
day 03 part one,,,,,8985100.0,ns,630
day 03 part one,,,,,10007100.0,ns,700
day 03 part one,,,,,10787900.0,ns,770
day 03 part one,,,,,12080000.0,ns,840
day 03 part one,,,,,12923900.0,ns,910
day 03 part one,,,,,13706200.0,ns,980
day 03 part one,,,,,15047500.0,ns,1050
day 03 part one,,,,,15892800.0,ns,1120
day 03 part one,,,,,18396100.0,ns,1190
day 03 part one,,,,,17947300.0,ns,1260
day 03 part one,,,,,19068600.0,ns,1330
day 03 part one,,,,,20049100.0,ns,1400
day 03 part one,,,,,20938200.0,ns,1470
day 03 part one,,,,,22227500.0,ns,1540
day 03 part one,,,,,22544300.0,ns,1610
day 03 part one,,,,,24136900.0,ns,1680
day 03 part one,,,,,24576200.0,ns,1750
day 03 part one,,,,,26332500.0,ns,1820
day 03 part one,,,,,27220800.0,ns,1890
day 03 part one,,,,,27781100.0,ns,1960
day 03 part one,,,,,29389900.0,ns,2030
day 03 part one,,,,,30143500.0,ns,2100
day 03 part one,,,,,30296500.0,ns,2170
day 03 part one,,,,,32460300.0,ns,2240
day 03 part one,,,,,33495600.0,ns,2310
day 03 part one,,,,,33406400.0,ns,2380
day 03 part one,,,,,34806400.0,ns,2450
day 03 part one,,,,,35764700.0,ns,2520
day 03 part one,,,,,36743800.0,ns,2590
day 03 part one,,,,,37525100.0,ns,2660
day 03 part one,,,,,38361500.0,ns,2730
day 03 part one,,,,,39797900.0,ns,2800
day 03 part one,,,,,40926400.0,ns,2870
day 03 part one,,,,,42038100.0,ns,2940
day 03 part one,,,,,42692900.0,ns,3010
day 03 part one,,,,,44215000.0,ns,3080
day 03 part one,,,,,44656400.0,ns,3150
day 03 part one,,,,,46066400.0,ns,3220
day 03 part one,,,,,46732000.0,ns,3290
day 03 part one,,,,,47493600.0,ns,3360
day 03 part one,,,,,49268400.0,ns,3430
day 03 part one,,,,,49134900.0,ns,3500
day 03 part one,,,,,50485700.0,ns,3570
day 03 part one,,,,,51212700.0,ns,3640
day 03 part one,,,,,54028500.0,ns,3710
day 03 part one,,,,,53308900.0,ns,3780
day 03 part one,,,,,54901600.0,ns,3850
day 03 part one,,,,,56694800.0,ns,3920
day 03 part one,,,,,57297700.0,ns,3990
day 03 part one,,,,,58888400.0,ns,4060
day 03 part one,,,,,58457100.0,ns,4130
day 03 part one,,,,,60315200.0,ns,4200
day 03 part one,,,,,61119600.0,ns,4270
day 03 part one,,,,,61286900.0,ns,4340
day 03 part one,,,,,62190700.0,ns,4410
day 03 part one,,,,,63541000.0,ns,4480
day 03 part one,,,,,64696400.0,ns,4550
day 03 part one,,,,,65079400.0,ns,4620
day 03 part one,,,,,66415300.0,ns,4690
day 03 part one,,,,,68104000.0,ns,4760
day 03 part one,,,,,68379000.0,ns,4830
day 03 part one,,,,,69470100.0,ns,4900
day 03 part one,,,,,71370500.0,ns,4970
day 03 part one,,,,,71801200.0,ns,5040
day 03 part one,,,,,71738600.0,ns,5110
day 03 part one,,,,,72777300.0,ns,5180
day 03 part one,,,,,75071200.0,ns,5250
day 03 part one,,,,,75648000.0,ns,5320
day 03 part one,,,,,76395200.0,ns,5390
day 03 part one,,,,,76989100.0,ns,5460
day 03 part one,,,,,77068100.0,ns,5530
day 03 part one,,,,,79941300.0,ns,5600
day 03 part one,,,,,79635900.0,ns,5670
day 03 part one,,,,,80928600.0,ns,5740
day 03 part one,,,,,82926100.0,ns,5810
day 03 part one,,,,,83900900.0,ns,5880
day 03 part one,,,,,84977900.0,ns,5950
day 03 part one,,,,,85678100.0,ns,6020
day 03 part one,,,,,86208100.0,ns,6090
day 03 part one,,,,,88570900.0,ns,6160
day 03 part one,,,,,88359700.0,ns,6230
day 03 part one,,,,,90251600.0,ns,6300
day 03 part one,,,,,89677800.0,ns,6370
day 03 part one,,,,,90863400.0,ns,6440
day 03 part one,,,,,94374400.0,ns,6510
day 03 part one,,,,,93811300.0,ns,6580
day 03 part one,,,,,95371400.0,ns,6650
day 03 part one,,,,,95204300.0,ns,6720
day 03 part one,,,,,98599200.0,ns,6790
day 03 part one,,,,,97677500.0,ns,6860
day 03 part one,,,,,98994700.0,ns,6930
day 03 part one,,,,,100389900.0,ns,7000
