group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 09 part two including part one to find target,,,,,1152400.0,ns,4
day 09 part two including part one to find target,,,,,2265600.0,ns,8
day 09 part two including part one to find target,,,,,3618400.0,ns,12
day 09 part two including part one to find target,,,,,4793300.0,ns,16
day 09 part two including part one to find target,,,,,5714700.0,ns,20
day 09 part two including part one to find target,,,,,7358500.0,ns,24
day 09 part two including part one to find target,,,,,8224200.0,ns,28
day 09 part two including part one to find target,,,,,9757300.0,ns,32
day 09 part two including part one to find target,,,,,10624300.0,ns,36
day 09 part two including part one to find target,,,,,11914300.0,ns,40
day 09 part two including part one to find target,,,,,13042600.0,ns,44
day 09 part two including part one to find target,,,,,14792400.0,ns,48
day 09 part two including part one to find target,,,,,15306600.0,ns,52
day 09 part two including part one to find target,,,,,16963800.0,ns,56
day 09 part two including part one to find target,,,,,17564100.0,ns,60
day 09 part two including part one to find target,,,,,18581300.0,ns,64
day 09 part two including part one to find target,,,,,19466200.0,ns,68
day 09 part two including part one to find target,,,,,20561700.0,ns,72
day 09 part two including part one to find target,,,,,21605600.0,ns,76
day 09 part two including part one to find target,,,,,23165900.0,ns,80
day 09 part two including part one to find target,,,,,24213200.0,ns,84
day 09 part two including part one to find target,,,,,25607100.0,ns,88
day 09 part two including part one to find target,,,,,26198700.0,ns,92
day 09 part two including part one to find target,,,,,28103400.0,ns,96
day 09 part two including part one to find target,,,,,29653500.0,ns,100
day 09 part two including part one to find target,,,,,30268100.0,ns,104
day 09 part two including part one to find target,,,,,31931400.0,ns,108
day 09 part two including part one to find target,,,,,32430900.0,ns,112
day 09 part two including part one to find target,,,,,33536500.0,ns,116
day 09 part two including part one to find target,,,,,34394200.0,ns,120
day 09 part two including part one to find target,,,,,35881600.0,ns,124
day 09 part two including part one to find target,,,,,36948200.0,ns,128
day 09 part two including part one to find target,,,,,38063400.0,ns,132
day 09 part two including part one to find target,,,,,39258100.0,ns,136
day 09 part two including part one to find target,,,,,40239800.0,ns,140
day 09 part two including part one to find target,,,,,41469300.0,ns,144
day 09 part two including part one to find target,,,,,43122600.0,ns,148
day 09 part two including part one to find target,,,,,44288800.0,ns,152
day 09 part two including part one to find target,,,,,45466300.0,ns,156
day 09 part two including part one to find target,,,,,46237400.0,ns,160
day 09 part two including part one to find target,,,,,47893200.0,ns,164
day 09 part two including part one to find target,,,,,48951500.0,ns,168
day 09 part two including part one to find target,,,,,49852500.0,ns,172
day 09 part two including part one to find target,,,,,50980200.0,ns,176
day 09 part two including part one to find target,,,,,51691800.0,ns,180
day 09 part two including part one to find target,,,,,53118100.0,ns,184
day 09 part two including part one to find target,,,,,54631000.0,ns,188
day 09 part two including part one to find target,,,,,56606700.0,ns,192
day 09 part two including part one to find target,,,,,58808600.0,ns,196
day 09 part two including part one to find target,,,,,57456800.0,ns,200
day 09 part two including part one to find target,,,,,59432600.0,ns,204
day 09 part two including part one to find target,,,,,60313500.0,ns,208
day 09 part two including part one to find target,,,,,61807700.0,ns,212
day 09 part two including part one to find target,,,,,62150300.0,ns,216
day 09 part two including part one to find target,,,,,63313400.0,ns,220
day 09 part two including part one to find target,,,,,64656500.0,ns,224
day 09 part two including part one to find target,,,,,66448700.0,ns,228
day 09 part two including part one to find target,,,,,67234900.0,ns,232
day 09 part two including part one to find target,,,,,68364900.0,ns,236
day 09 part two including part one to find target,,,,,70289400.0,ns,240
day 09 part two including part one to find target,,,,,71529300.0,ns,244
day 09 part two including part one to find target,,,,,71617100.0,ns,248
day 09 part two including part one to find target,,,,,73004400.0,ns,252
day 09 part two including part one to find target,,,,,74074400.0,ns,256
day 09 part two including part one to find target,,,,,75357100.0,ns,260
day 09 part two including part one to find target,,,,,76021300.0,ns,264
day 09 part two including part one to find target,,,,,77275900.0,ns,268
day 09 part two including part one to find target,,,,,78995200.0,ns,272
day 09 part two including part one to find target,,,,,79108000.0,ns,276
day 09 part two including part one to find target,,,,,80316400.0,ns,280
day 09 part two including part one to find target,,,,,82416500.0,ns,284
day 09 part two including part one to find target,,,,,84132200.0,ns,288
day 09 part two including part one to find target,,,,,84959900.0,ns,292
day 09 part two including part one to find target,,,,,86912400.0,ns,296
day 09 part two including part one to find target,,,,,86960300.0,ns,300
day 09 part two including part one to find target,,,,,88059100.0,ns,304
day 09 part two including part one to find target,,,,,89949800.0,ns,308
day 09 part two including part one to find target,,,,,90668300.0,ns,312
day 09 part two including part one to find target,,,,,91474400.0,ns,316
day 09 part two including part one to find target,,,,,91890700.0,ns,320
day 09 part two including part one to find target,,,,,92667700.0,ns,324
day 09 part two including part one to find target,,,,,94798300.0,ns,328
day 09 part two including part one to find target,,,,,95543400.0,ns,332
day 09 part two including part one to find target,,,,,99170300.0,ns,336
day 09 part two including part one to find target,,,,,99379200.0,ns,340
day 09 part two including part one to find target,,,,,99011400.0,ns,344
day 09 part two including part one to find target,,,,,102209900.0,ns,348
day 09 part two including part one to find target,,,,,103125000.0,ns,352
day 09 part two including part one to find target,,,,,102436300.0,ns,356
day 09 part two including part one to find target,,,,,104677100.0,ns,360
day 09 part two including part one to find target,,,,,104754400.0,ns,364
day 09 part two including part one to find target,,,,,105665200.0,ns,368
day 09 part two including part one to find target,,,,,107813700.0,ns,372
day 09 part two including part one to find target,,,,,109420800.0,ns,376
day 09 part two including part one to find target,,,,,111095300.0,ns,380
day 09 part two including part one to find target,,,,,111266700.0,ns,384
day 09 part two including part one to find target,,,,,112470800.0,ns,388
day 09 part two including part one to find target,,,,,113781800.0,ns,392
day 09 part two including part one to find target,,,,,113989900.0,ns,396
day 09 part two including part one to find target,,,,,116116900.0,ns,400
