group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 11 load input,,,,,2086000.0,ns,7
day 11 load input,,,,,2293000.0,ns,14
day 11 load input,,,,,3223400.0,ns,21
day 11 load input,,,,,4102300.0,ns,28
day 11 load input,,,,,5991800.0,ns,35
day 11 load input,,,,,6906900.0,ns,42
day 11 load input,,,,,7293600.0,ns,49
day 11 load input,,,,,9709600.0,ns,56
day 11 load input,,,,,12147700.0,ns,63
day 11 load input,,,,,10483800.0,ns,70
day 11 load input,,,,,13142800.0,ns,77
day 11 load input,,,,,14558000.0,ns,84
day 11 load input,,,,,14694400.0,ns,91
day 11 load input,,,,,17342100.0,ns,98
day 11 load input,,,,,16562000.0,ns,105
day 11 load input,,,,,16838200.0,ns,112
day 11 load input,,,,,18112500.0,ns,119
day 11 load input,,,,,20108200.0,ns,126
day 11 load input,,,,,21761100.0,ns,133
day 11 load input,,,,,21830300.0,ns,140
day 11 load input,,,,,22345900.0,ns,147
day 11 load input,,,,,23808500.0,ns,154
day 11 load input,,,,,24510400.0,ns,161
day 11 load input,,,,,25310500.0,ns,168
day 11 load input,,,,,25626500.0,ns,175
day 11 load input,,,,,27263400.0,ns,182
day 11 load input,,,,,29412600.0,ns,189
day 11 load input,,,,,29541900.0,ns,196
day 11 load input,,,,,29532500.0,ns,203
day 11 load input,,,,,29902100.0,ns,210
day 11 load input,,,,,31606300.0,ns,217
day 11 load input,,,,,32500000.0,ns,224
day 11 load input,,,,,34410700.0,ns,231
day 11 load input,,,,,34286500.0,ns,238
day 11 load input,,,,,35116100.0,ns,245
day 11 load input,,,,,36802100.0,ns,252
day 11 load input,,,,,37559900.0,ns,259
day 11 load input,,,,,39298500.0,ns,266
day 11 load input,,,,,40312400.0,ns,273
day 11 load input,,,,,57142800.0,ns,280
day 11 load input,,,,,51616200.0,ns,287
day 11 load input,,,,,44453700.0,ns,294
day 11 load input,,,,,48953200.0,ns,301
day 11 load input,,,,,48282300.0,ns,308
day 11 load input,,,,,49229600.0,ns,315
day 11 load input,,,,,50759200.0,ns,322
day 11 load input,,,,,49607700.0,ns,329
day 11 load input,,,,,49718600.0,ns,336
day 11 load input,,,,,50220400.0,ns,343
day 11 load input,,,,,51627300.0,ns,350
day 11 load input,,,,,56383800.0,ns,357
day 11 load input,,,,,59238000.0,ns,364
day 11 load input,,,,,57599700.0,ns,371
day 11 load input,,,,,54731400.0,ns,378
day 11 load input,,,,,59266800.0,ns,385
day 11 load input,,,,,61663900.0,ns,392
day 11 load input,,,,,63079000.0,ns,399
day 11 load input,,,,,61642500.0,ns,406
day 11 load input,,,,,62410000.0,ns,413
day 11 load input,,,,,64480500.0,ns,420
day 11 load input,,,,,66131600.0,ns,427
day 11 load input,,,,,66254800.0,ns,434
day 11 load input,,,,,68188100.0,ns,441
day 11 load input,,,,,67632400.0,ns,448
day 11 load input,,,,,67963000.0,ns,455
day 11 load input,,,,,66746700.0,ns,462
day 11 load input,,,,,67807600.0,ns,469
day 11 load input,,,,,68321800.0,ns,476
day 11 load input,,,,,69170400.0,ns,483
day 11 load input,,,,,70896100.0,ns,490
day 11 load input,,,,,70941800.0,ns,497
day 11 load input,,,,,72279100.0,ns,504
day 11 load input,,,,,72610400.0,ns,511
day 11 load input,,,,,74090400.0,ns,518
day 11 load input,,,,,75922300.0,ns,525
day 11 load input,,,,,75826700.0,ns,532
day 11 load input,,,,,78470200.0,ns,539
day 11 load input,,,,,78276400.0,ns,546
day 11 load input,,,,,79051300.0,ns,553
day 11 load input,,,,,79792900.0,ns,560
day 11 load input,,,,,81339900.0,ns,567
day 11 load input,,,,,82516400.0,ns,574
day 11 load input,,,,,82504400.0,ns,581
day 11 load input,,,,,84705500.0,ns,588
day 11 load input,,,,,85925400.0,ns,595
day 11 load input,,,,,86057300.0,ns,602
day 11 load input,,,,,86575900.0,ns,609
day 11 load input,,,,,87878300.0,ns,616
day 11 load input,,,,,89986900.0,ns,623
day 11 load input,,,,,93576800.0,ns,630
day 11 load input,,,,,92305900.0,ns,637
day 11 load input,,,,,93357000.0,ns,644
day 11 load input,,,,,93041500.0,ns,651
day 11 load input,,,,,94684900.0,ns,658
day 11 load input,,,,,95158600.0,ns,665
day 11 load input,,,,,96065500.0,ns,672
day 11 load input,,,,,98238200.0,ns,679
day 11 load input,,,,,98932600.0,ns,686
day 11 load input,,,,,98308900.0,ns,693
day 11 load input,,,,,101875900.0,ns,700
