group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 12 part one,,,,,1166300.0,ns,42
day 12 part one,,,,,1945300.0,ns,84
day 12 part one,,,,,2827800.0,ns,126
day 12 part one,,,,,5014000.0,ns,168
day 12 part one,,,,,4945600.0,ns,210
day 12 part one,,,,,5813100.0,ns,252
day 12 part one,,,,,6858000.0,ns,294
day 12 part one,,,,,7253200.0,ns,336
day 12 part one,,,,,8182700.0,ns,378
day 12 part one,,,,,9918000.0,ns,420
day 12 part one,,,,,10950600.0,ns,462
day 12 part one,,,,,11942400.0,ns,504
day 12 part one,,,,,11866400.0,ns,546
day 12 part one,,,,,13634300.0,ns,588
day 12 part one,,,,,15370100.0,ns,630
day 12 part one,,,,,14819700.0,ns,672
day 12 part one,,,,,20045000.0,ns,714
day 12 part one,,,,,16865100.0,ns,756
day 12 part one,,,,,17897600.0,ns,798
day 12 part one,,,,,19642500.0,ns,840
day 12 part one,,,,,19791500.0,ns,882
day 12 part one,,,,,20730100.0,ns,924
day 12 part one,,,,,21987900.0,ns,966
day 12 part one,,,,,37777800.0,ns,1008
day 12 part one,,,,,23135500.0,ns,1050
day 12 part one,,,,,26129900.0,ns,1092
day 12 part one,,,,,25479600.0,ns,1134
day 12 part one,,,,,26277900.0,ns,1176
day 12 part one,,,,,26290100.0,ns,1218
day 12 part one,,,,,37980400.0,ns,1260
day 12 part one,,,,,51321000.0,ns,1302
day 12 part one,,,,,32342700.0,ns,1344
day 12 part one,,,,,31608100.0,ns,1386
day 12 part one,,,,,37623200.0,ns,1428
day 12 part one,,,,,36759400.0,ns,1470
day 12 part one,,,,,35312300.0,ns,1512
day 12 part one,,,,,40337200.0,ns,1554
day 12 part one,,,,,34938200.0,ns,1596
day 12 part one,,,,,36654000.0,ns,1638
day 12 part one,,,,,37406300.0,ns,1680
day 12 part one,,,,,37600200.0,ns,1722
day 12 part one,,,,,40459300.0,ns,1764
day 12 part one,,,,,45677500.0,ns,1806
day 12 part one,,,,,40757500.0,ns,1848
day 12 part one,,,,,41601000.0,ns,1890
day 12 part one,,,,,42150000.0,ns,1932
day 12 part one,,,,,43857400.0,ns,1974
day 12 part one,,,,,43196000.0,ns,2016
day 12 part one,,,,,43319000.0,ns,2058
day 12 part one,,,,,46184800.0,ns,2100
day 12 part one,,,,,51234500.0,ns,2142
day 12 part one,,,,,52478900.0,ns,2184
day 12 part one,,,,,49472000.0,ns,2226
day 12 part one,,,,,47740800.0,ns,2268
day 12 part one,,,,,52248400.0,ns,2310
day 12 part one,,,,,52373200.0,ns,2352
day 12 part one,,,,,58278000.0,ns,2394
day 12 part one,,,,,54745700.0,ns,2436
day 12 part one,,,,,55918600.0,ns,2478
day 12 part one,,,,,53035400.0,ns,2520
day 12 part one,,,,,52958500.0,ns,2562
day 12 part one,,,,,54417200.0,ns,2604
day 12 part one,,,,,59012300.0,ns,2646
day 12 part one,,,,,58560400.0,ns,2688
day 12 part one,,,,,57514300.0,ns,2730
day 12 part one,,,,,58656200.0,ns,2772
day 12 part one,,,,,61192200.0,ns,2814
day 12 part one,,,,,59863500.0,ns,2856
day 12 part one,,,,,60481000.0,ns,2898
day 12 part one,,,,,60986600.0,ns,2940
day 12 part one,,,,,75567700.0,ns,2982
day 12 part one,,,,,67148300.0,ns,3024
day 12 part one,,,,,64453000.0,ns,3066
day 12 part one,,,,,64055400.0,ns,3108
day 12 part one,,,,,65372000.0,ns,3150
day 12 part one,,,,,66645800.0,ns,3192
day 12 part one,,,,,68102600.0,ns,3234
day 12 part one,,,,,69261500.0,ns,3276
day 12 part one,,,,,69167200.0,ns,3318
day 12 part one,,,,,70941800.0,ns,3360
day 12 part one,,,,,73372100.0,ns,3402
day 12 part one,,,,,72412900.0,ns,3444
day 12 part one,,,,,72714100.0,ns,3486
day 12 part one,,,,,76312500.0,ns,3528
day 12 part one,,,,,80472500.0,ns,3570
day 12 part one,,,,,85423700.0,ns,3612
day 12 part one,,,,,80104700.0,ns,3654
day 12 part one,,,,,76657300.0,ns,3696
day 12 part one,,,,,78451300.0,ns,3738
day 12 part one,,,,,84791500.0,ns,3780
day 12 part one,,,,,108626700.0,ns,3822
day 12 part one,,,,,94031700.0,ns,3864
day 12 part one,,,,,86237200.0,ns,3906
day 12 part one,,,,,90551700.0,ns,3948
day 12 part one,,,,,94449600.0,ns,3990
day 12 part one,,,,,95579200.0,ns,4032
day 12 part one,,,,,94992400.0,ns,4074
day 12 part one,,,,,93262300.0,ns,4116
day 12 part one,,,,,88662700.0,ns,4158
day 12 part one,,,,,99052700.0,ns,4200
