group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 12 part two ,,,,,882200.0,ns,41
day 12 part two ,,,,,1697400.0,ns,82
day 12 part two ,,,,,2545500.0,ns,123
day 12 part two ,,,,,3610200.0,ns,164
day 12 part two ,,,,,4424200.0,ns,205
day 12 part two ,,,,,5074400.0,ns,246
day 12 part two ,,,,,5948400.0,ns,287
day 12 part two ,,,,,6875000.0,ns,328
day 12 part two ,,,,,7867500.0,ns,369
day 12 part two ,,,,,9623700.0,ns,410
day 12 part two ,,,,,9460300.0,ns,451
day 12 part two ,,,,,10577600.0,ns,492
day 12 part two ,,,,,11182600.0,ns,533
day 12 part two ,,,,,12642800.0,ns,574
day 12 part two ,,,,,13362300.0,ns,615
day 12 part two ,,,,,14728000.0,ns,656
day 12 part two ,,,,,15740700.0,ns,697
day 12 part two ,,,,,16489500.0,ns,738
day 12 part two ,,,,,17281900.0,ns,779
day 12 part two ,,,,,19034300.0,ns,820
day 12 part two ,,,,,24457700.0,ns,861
day 12 part two ,,,,,20767800.0,ns,902
day 12 part two ,,,,,22333800.0,ns,943
day 12 part two ,,,,,22954100.0,ns,984
day 12 part two ,,,,,22552400.0,ns,1025
day 12 part two ,,,,,23480200.0,ns,1066
day 12 part two ,,,,,24712600.0,ns,1107
day 12 part two ,,,,,25310700.0,ns,1148
day 12 part two ,,,,,26729000.0,ns,1189
day 12 part two ,,,,,30344900.0,ns,1230
day 12 part two ,,,,,30068000.0,ns,1271
day 12 part two ,,,,,28527900.0,ns,1312
day 12 part two ,,,,,29833000.0,ns,1353
day 12 part two ,,,,,31798300.0,ns,1394
day 12 part two ,,,,,32576100.0,ns,1435
day 12 part two ,,,,,33781900.0,ns,1476
day 12 part two ,,,,,33548200.0,ns,1517
day 12 part two ,,,,,33778400.0,ns,1558
day 12 part two ,,,,,34507100.0,ns,1599
day 12 part two ,,,,,35752600.0,ns,1640
day 12 part two ,,,,,37891200.0,ns,1681
day 12 part two ,,,,,39274500.0,ns,1722
day 12 part two ,,,,,39456000.0,ns,1763
day 12 part two ,,,,,40670500.0,ns,1804
day 12 part two ,,,,,40580300.0,ns,1845
day 12 part two ,,,,,41936700.0,ns,1886
day 12 part two ,,,,,41552500.0,ns,1927
day 12 part two ,,,,,40723600.0,ns,1968
day 12 part two ,,,,,43153300.0,ns,2009
day 12 part two ,,,,,44329700.0,ns,2050
day 12 part two ,,,,,45488800.0,ns,2091
day 12 part two ,,,,,45160800.0,ns,2132
day 12 part two ,,,,,44827300.0,ns,2173
day 12 part two ,,,,,46868000.0,ns,2214
day 12 part two ,,,,,47247900.0,ns,2255
day 12 part two ,,,,,48222700.0,ns,2296
day 12 part two ,,,,,48861200.0,ns,2337
day 12 part two ,,,,,49873800.0,ns,2378
day 12 part two ,,,,,51401500.0,ns,2419
day 12 part two ,,,,,53293600.0,ns,2460
day 12 part two ,,,,,52200000.0,ns,2501
day 12 part two ,,,,,53322300.0,ns,2542
day 12 part two ,,,,,53622200.0,ns,2583
day 12 part two ,,,,,55555000.0,ns,2624
day 12 part two ,,,,,56231600.0,ns,2665
day 12 part two ,,,,,57275700.0,ns,2706
day 12 part two ,,,,,57938400.0,ns,2747
day 12 part two ,,,,,58830300.0,ns,2788
day 12 part two ,,,,,59517900.0,ns,2829
day 12 part two ,,,,,65508000.0,ns,2870
day 12 part two ,,,,,63467400.0,ns,2911
day 12 part two ,,,,,62262000.0,ns,2952
day 12 part two ,,,,,63796600.0,ns,2993
day 12 part two ,,,,,64186200.0,ns,3034
day 12 part two ,,,,,64122000.0,ns,3075
day 12 part two ,,,,,66209700.0,ns,3116
day 12 part two ,,,,,66067900.0,ns,3157
day 12 part two ,,,,,67018600.0,ns,3198
day 12 part two ,,,,,66996600.0,ns,3239
day 12 part two ,,,,,68692400.0,ns,3280
day 12 part two ,,,,,70104500.0,ns,3321
day 12 part two ,,,,,71874300.0,ns,3362
day 12 part two ,,,,,73318500.0,ns,3403
day 12 part two ,,,,,73578200.0,ns,3444
day 12 part two ,,,,,78014500.0,ns,3485
day 12 part two ,,,,,73320700.0,ns,3526
day 12 part two ,,,,,74943200.0,ns,3567
day 12 part two ,,,,,75349400.0,ns,3608
day 12 part two ,,,,,76550400.0,ns,3649
day 12 part two ,,,,,77473300.0,ns,3690
day 12 part two ,,,,,77989700.0,ns,3731
day 12 part two ,,,,,77431700.0,ns,3772
day 12 part two ,,,,,82704700.0,ns,3813
day 12 part two ,,,,,80669900.0,ns,3854
day 12 part two ,,,,,92631600.0,ns,3895
day 12 part two ,,,,,97230800.0,ns,3936
day 12 part two ,,,,,103050000.0,ns,3977
day 12 part two ,,,,,97859400.0,ns,4018
day 12 part two ,,,,,95399800.0,ns,4059
day 12 part two ,,,,,87996000.0,ns,4100
