group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 14 load input,,,,,991840.0,ns,113
day 14 load input,,,,,1933566.0,ns,226
day 14 load input,,,,,3036004.0,ns,339
day 14 load input,,,,,3788225.0,ns,452
day 14 load input,,,,,5401551.0,ns,565
day 14 load input,,,,,5777187.0,ns,678
day 14 load input,,,,,7432289.0,ns,791
day 14 load input,,,,,8254356.0,ns,904
day 14 load input,,,,,9382231.0,ns,1017
day 14 load input,,,,,9872372.0,ns,1130
day 14 load input,,,,,10831797.0,ns,1243
day 14 load input,,,,,11878222.0,ns,1356
day 14 load input,,,,,12652831.0,ns,1469
day 14 load input,,,,,13798221.0,ns,1582
day 14 load input,,,,,14747108.0,ns,1695
day 14 load input,,,,,15780745.0,ns,1808
day 14 load input,,,,,16848037.0,ns,1921
day 14 load input,,,,,17677192.0,ns,2034
day 14 load input,,,,,18511425.0,ns,2147
day 14 load input,,,,,19689457.0,ns,2260
day 14 load input,,,,,20525450.0,ns,2373
day 14 load input,,,,,21646393.0,ns,2486
day 14 load input,,,,,22365377.0,ns,2599
day 14 load input,,,,,23723764.0,ns,2712
day 14 load input,,,,,24430418.0,ns,2825
day 14 load input,,,,,25387454.0,ns,2938
day 14 load input,,,,,27850492.0,ns,3051
day 14 load input,,,,,27472768.0,ns,3164
day 14 load input,,,,,28323445.0,ns,3277
day 14 load input,,,,,37394097.0,ns,3390
day 14 load input,,,,,30625567.0,ns,3503
day 14 load input,,,,,31254749.0,ns,3616
day 14 load input,,,,,32788364.0,ns,3729
day 14 load input,,,,,33188111.0,ns,3842
day 14 load input,,,,,34268656.0,ns,3955
day 14 load input,,,,,35174166.0,ns,4068
day 14 load input,,,,,36093358.0,ns,4181
day 14 load input,,,,,37594196.0,ns,4294
day 14 load input,,,,,38635927.0,ns,4407
day 14 load input,,,,,41506152.0,ns,4520
day 14 load input,,,,,40340917.0,ns,4633
day 14 load input,,,,,41230335.0,ns,4746
day 14 load input,,,,,42357116.0,ns,4859
day 14 load input,,,,,43725251.0,ns,4972
day 14 load input,,,,,44698854.0,ns,5085
day 14 load input,,,,,45223791.0,ns,5198
day 14 load input,,,,,46417985.0,ns,5311
day 14 load input,,,,,48078008.0,ns,5424
day 14 load input,,,,,48373646.0,ns,5537
day 14 load input,,,,,49267623.0,ns,5650
day 14 load input,,,,,49901909.0,ns,5763
day 14 load input,,,,,50796370.0,ns,5876
day 14 load input,,,,,52347673.0,ns,5989
day 14 load input,,,,,53205481.0,ns,6102
day 14 load input,,,,,53975022.0,ns,6215
day 14 load input,,,,,55458799.0,ns,6328
day 14 load input,,,,,55970399.0,ns,6441
day 14 load input,,,,,56878796.0,ns,6554
day 14 load input,,,,,57618155.0,ns,6667
day 14 load input,,,,,58664139.0,ns,6780
day 14 load input,,,,,63832977.0,ns,6893
day 14 load input,,,,,63432462.0,ns,7006
day 14 load input,,,,,61979556.0,ns,7119
day 14 load input,,,,,62502568.0,ns,7232
day 14 load input,,,,,62997570.0,ns,7345
day 14 load input,,,,,64322665.0,ns,7458
day 14 load input,,,,,65430355.0,ns,7571
day 14 load input,,,,,65962852.0,ns,7684
day 14 load input,,,,,67941896.0,ns,7797
day 14 load input,,,,,68977742.0,ns,7910
day 14 load input,,,,,69788711.0,ns,8023
day 14 load input,,,,,72063038.0,ns,8136
day 14 load input,,,,,73333840.0,ns,8249
day 14 load input,,,,,73029591.0,ns,8362
day 14 load input,,,,,73380301.0,ns,8475
day 14 load input,,,,,73869195.0,ns,8588
day 14 load input,,,,,76049066.0,ns,8701
day 14 load input,,,,,76189777.0,ns,8814
day 14 load input,,,,,77531316.0,ns,8927
day 14 load input,,,,,78373166.0,ns,9040
day 14 load input,,,,,80158024.0,ns,9153
day 14 load input,,,,,80852672.0,ns,9266
day 14 load input,,,,,81748115.0,ns,9379
day 14 load input,,,,,82839660.0,ns,9492
day 14 load input,,,,,82663130.0,ns,9605
day 14 load input,,,,,85981418.0,ns,9718
day 14 load input,,,,,85726216.0,ns,9831
day 14 load input,,,,,85763606.0,ns,9944
day 14 load input,,,,,88571301.0,ns,10057
day 14 load input,,,,,88363810.0,ns,10170
day 14 load input,,,,,89073221.0,ns,10283
day 14 load input,,,,,91279919.0,ns,10396
day 14 load input,,,,,91856446.0,ns,10509
day 14 load input,,,,,93400050.0,ns,10622
day 14 load input,,,,,101841058.0,ns,10735
day 14 load input,,,,,93652301.0,ns,10848
day 14 load input,,,,,94946191.0,ns,10961
day 14 load input,,,,,95777796.0,ns,11074
day 14 load input,,,,,96439960.0,ns,11187
day 14 load input,,,,,98553561.0,ns,11300
