group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 15 part two ,,,,,8226456426.0,ns,1
day 15 part two ,,,,,8296350658.0,ns,1
day 15 part two ,,,,,8390998773.0,ns,1
day 15 part two ,,,,,8266864192.0,ns,1
day 15 part two ,,,,,8157538266.0,ns,1
day 15 part two ,,,,,8138908642.0,ns,1
day 15 part two ,,,,,8139238148.0,ns,1
day 15 part two ,,,,,8127592570.0,ns,1
day 15 part two ,,,,,8135869712.0,ns,1
day 15 part two ,,,,,8201603605.0,ns,1
day 15 part two ,,,,,8173827118.0,ns,1
day 15 part two ,,,,,8203684569.0,ns,1
day 15 part two ,,,,,8155239400.0,ns,1
day 15 part two ,,,,,8197075073.0,ns,1
day 15 part two ,,,,,8364328019.0,ns,1
day 15 part two ,,,,,8296340870.0,ns,1
day 15 part two ,,,,,8307088522.0,ns,1
day 15 part two ,,,,,8298930693.0,ns,1
day 15 part two ,,,,,8144662346.0,ns,1
day 15 part two ,,,,,8186500506.0,ns,1
day 15 part two ,,,,,8168944587.0,ns,1
day 15 part two ,,,,,8200037327.0,ns,1
day 15 part two ,,,,,8318430508.0,ns,1
day 15 part two ,,,,,8209348084.0,ns,1
day 15 part two ,,,,,8146091690.0,ns,1
day 15 part two ,,,,,8236901489.0,ns,1
day 15 part two ,,,,,8200831579.0,ns,1
day 15 part two ,,,,,8215576540.0,ns,1
day 15 part two ,,,,,8339672869.0,ns,1
day 15 part two ,,,,,8299172575.0,ns,1
day 15 part two ,,,,,8256843036.0,ns,1
day 15 part two ,,,,,8251022465.0,ns,1
day 15 part two ,,,,,8131784554.0,ns,1
day 15 part two ,,,,,8197346444.0,ns,1
day 15 part two ,,,,,8235008424.0,ns,1
day 15 part two ,,,,,8244030093.0,ns,1
day 15 part two ,,,,,8178709375.0,ns,1
day 15 part two ,,,,,8189433858.0,ns,1
day 15 part two ,,,,,8349295910.0,ns,1
day 15 part two ,,,,,8213537568.0,ns,1
day 15 part two ,,,,,8188862119.0,ns,1
day 15 part two ,,,,,8187545240.0,ns,1
day 15 part two ,,,,,8184353922.0,ns,1
day 15 part two ,,,,,8169457980.0,ns,1
day 15 part two ,,,,,8356994449.0,ns,1
day 15 part two ,,,,,8231223091.0,ns,1
day 15 part two ,,,,,8267281562.0,ns,1
day 15 part two ,,,,,8148243391.0,ns,1
day 15 part two ,,,,,8141208730.0,ns,1
day 15 part two ,,,,,8209658282.0,ns,1
day 15 part two ,,,,,8235511129.0,ns,1
day 15 part two ,,,,,8238521053.0,ns,1
day 15 part two ,,,,,8187433291.0,ns,1
day 15 part two ,,,,,8185653320.0,ns,1
day 15 part two ,,,,,8266486591.0,ns,1
day 15 part two ,,,,,8156149949.0,ns,1
day 15 part two ,,,,,8293717179.0,ns,1
day 15 part two ,,,,,8178684560.0,ns,1
day 15 part two ,,,,,8178217501.0,ns,1
day 15 part two ,,,,,8246344605.0,ns,1
day 15 part two ,,,,,8347178700.0,ns,1
day 15 part two ,,,,,8145520164.0,ns,1
day 15 part two ,,,,,8168627353.0,ns,1
day 15 part two ,,,,,8183196530.0,ns,1
day 15 part two ,,,,,8143445777.0,ns,1
day 15 part two ,,,,,8307435829.0,ns,1
day 15 part two ,,,,,8167520384.0,ns,1
day 15 part two ,,,,,8126310872.0,ns,1
day 15 part two ,,,,,8194627600.0,ns,1
day 15 part two ,,,,,8329898821.0,ns,1
day 15 part two ,,,,,8364780485.0,ns,1
day 15 part two ,,,,,8191571213.0,ns,1
day 15 part two ,,,,,8159020445.0,ns,1
day 15 part two ,,,,,8155366037.0,ns,1
day 15 part two ,,,,,8312902667.0,ns,1
day 15 part two ,,,,,8352479851.0,ns,1
day 15 part two ,,,,,8197794833.0,ns,1
day 15 part two ,,,,,8231609466.0,ns,1
day 15 part two ,,,,,8147615577.0,ns,1
day 15 part two ,,,,,8168866608.0,ns,1
day 15 part two ,,,,,8133704639.0,ns,1
day 15 part two ,,,,,8123703581.0,ns,1
day 15 part two ,,,,,8201558509.0,ns,1
day 15 part two ,,,,,8157522644.0,ns,1
day 15 part two ,,,,,8145490917.0,ns,1
day 15 part two ,,,,,8184850671.0,ns,1
day 15 part two ,,,,,8168831616.0,ns,1
day 15 part two ,,,,,8186673513.0,ns,1
day 15 part two ,,,,,8208238592.0,ns,1
day 15 part two ,,,,,8249685613.0,ns,1
day 15 part two ,,,,,8237984122.0,ns,1
day 15 part two ,,,,,8194910875.0,ns,1
day 15 part two ,,,,,8226238288.0,ns,1
day 15 part two ,,,,,8230602441.0,ns,1
day 15 part two ,,,,,8172539991.0,ns,1
day 15 part two ,,,,,8244025203.0,ns,1
day 15 part two ,,,,,8208562336.0,ns,1
day 15 part two ,,,,,8206525157.0,ns,1
day 15 part two ,,,,,8169015981.0,ns,1
day 15 part two ,,,,,8161098497.0,ns,1
