group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 19 load input for part one,,,,,992977.0,ns,103
day 19 load input for part one,,,,,2108605.0,ns,206
day 19 load input for part one,,,,,2926189.0,ns,309
day 19 load input for part one,,,,,3846282.0,ns,412
day 19 load input for part one,,,,,5388335.0,ns,515
day 19 load input for part one,,,,,6074204.0,ns,618
day 19 load input for part one,,,,,7944599.0,ns,721
day 19 load input for part one,,,,,8228700.0,ns,824
day 19 load input for part one,,,,,9209783.0,ns,927
day 19 load input for part one,,,,,10047651.0,ns,1030
day 19 load input for part one,,,,,11241662.0,ns,1133
day 19 load input for part one,,,,,11969015.0,ns,1236
day 19 load input for part one,,,,,13056761.0,ns,1339
day 19 load input for part one,,,,,13951850.0,ns,1442
day 19 load input for part one,,,,,14696123.0,ns,1545
day 19 load input for part one,,,,,15884620.0,ns,1648
day 19 load input for part one,,,,,16936605.0,ns,1751
day 19 load input for part one,,,,,17743538.0,ns,1854
day 19 load input for part one,,,,,18862571.0,ns,1957
day 19 load input for part one,,,,,19899992.0,ns,2060
day 19 load input for part one,,,,,20686862.0,ns,2163
day 19 load input for part one,,,,,21794761.0,ns,2266
day 19 load input for part one,,,,,22799549.0,ns,2369
day 19 load input for part one,,,,,23794604.0,ns,2472
day 19 load input for part one,,,,,25004576.0,ns,2575
day 19 load input for part one,,,,,25716552.0,ns,2678
day 19 load input for part one,,,,,26567242.0,ns,2781
day 19 load input for part one,,,,,27767194.0,ns,2884
day 19 load input for part one,,,,,28578227.0,ns,2987
day 19 load input for part one,,,,,29602664.0,ns,3090
day 19 load input for part one,,,,,31013784.0,ns,3193
day 19 load input for part one,,,,,31872922.0,ns,3296
day 19 load input for part one,,,,,32689155.0,ns,3399
day 19 load input for part one,,,,,33711752.0,ns,3502
day 19 load input for part one,,,,,34748260.0,ns,3605
day 19 load input for part one,,,,,35517622.0,ns,3708
day 19 load input for part one,,,,,36653083.0,ns,3811
day 19 load input for part one,,,,,37632038.0,ns,3914
day 19 load input for part one,,,,,38589823.0,ns,4017
day 19 load input for part one,,,,,40693353.0,ns,4120
day 19 load input for part one,,,,,40914925.0,ns,4223
day 19 load input for part one,,,,,41716004.0,ns,4326
day 19 load input for part one,,,,,42472036.0,ns,4429
day 19 load input for part one,,,,,43291165.0,ns,4532
day 19 load input for part one,,,,,44425985.0,ns,4635
day 19 load input for part one,,,,,45368525.0,ns,4738
day 19 load input for part one,,,,,46419807.0,ns,4841
day 19 load input for part one,,,,,47336693.0,ns,4944
day 19 load input for part one,,,,,48426680.0,ns,5047
day 19 load input for part one,,,,,49393133.0,ns,5150
day 19 load input for part one,,,,,50625325.0,ns,5253
day 19 load input for part one,,,,,51488851.0,ns,5356
day 19 load input for part one,,,,,52721100.0,ns,5459
day 19 load input for part one,,,,,53602502.0,ns,5562
day 19 load input for part one,,,,,54189402.0,ns,5665
day 19 load input for part one,,,,,56830647.0,ns,5768
day 19 load input for part one,,,,,56762221.0,ns,5871
day 19 load input for part one,,,,,57263862.0,ns,5974
day 19 load input for part one,,,,,58306554.0,ns,6077
day 19 load input for part one,,,,,59133736.0,ns,6180
day 19 load input for part one,,,,,60538713.0,ns,6283
day 19 load input for part one,,,,,61330958.0,ns,6386
day 19 load input for part one,,,,,62117747.0,ns,6489
day 19 load input for part one,,,,,63564133.0,ns,6592
day 19 load input for part one,,,,,64345586.0,ns,6695
day 19 load input for part one,,,,,65462699.0,ns,6798
day 19 load input for part one,,,,,66128663.0,ns,6901
day 19 load input for part one,,,,,67118304.0,ns,7004
day 19 load input for part one,,,,,70571569.0,ns,7107
day 19 load input for part one,,,,,69353554.0,ns,7210
day 19 load input for part one,,,,,70428088.0,ns,7313
day 19 load input for part one,,,,,71758371.0,ns,7416
day 19 load input for part one,,,,,72694676.0,ns,7519
day 19 load input for part one,,,,,73242955.0,ns,7622
day 19 load input for part one,,,,,74380512.0,ns,7725
day 19 load input for part one,,,,,74942806.0,ns,7828
day 19 load input for part one,,,,,75698863.0,ns,7931
day 19 load input for part one,,,,,76792112.0,ns,8034
day 19 load input for part one,,,,,79504612.0,ns,8137
day 19 load input for part one,,,,,79247919.0,ns,8240
day 19 load input for part one,,,,,80037634.0,ns,8343
day 19 load input for part one,,,,,80698079.0,ns,8446
day 19 load input for part one,,,,,81816086.0,ns,8549
day 19 load input for part one,,,,,82947534.0,ns,8652
day 19 load input for part one,,,,,84138809.0,ns,8755
day 19 load input for part one,,,,,85303659.0,ns,8858
day 19 load input for part one,,,,,85805657.0,ns,8961
day 19 load input for part one,,,,,87830701.0,ns,9064
day 19 load input for part one,,,,,89214603.0,ns,9167
day 19 load input for part one,,,,,88900792.0,ns,9270
day 19 load input for part one,,,,,90126491.0,ns,9373
day 19 load input for part one,,,,,90829944.0,ns,9476
day 19 load input for part one,,,,,91982646.0,ns,9579
day 19 load input for part one,,,,,92541238.0,ns,9682
day 19 load input for part one,,,,,93999411.0,ns,9785
day 19 load input for part one,,,,,95043740.0,ns,9888
day 19 load input for part one,,,,,101892689.0,ns,9991
day 19 load input for part one,,,,,97122048.0,ns,10094
day 19 load input for part one,,,,,99899365.0,ns,10197
day 19 load input for part one,,,,,105604497.0,ns,10300
