group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 19 load input for part two,,,,,997014.0,ns,101
day 19 load input for part two,,,,,1924476.0,ns,202
day 19 load input for part two,,,,,3081910.0,ns,303
day 19 load input for part two,,,,,3877469.0,ns,404
day 19 load input for part two,,,,,5222242.0,ns,505
day 19 load input for part two,,,,,6035336.0,ns,606
day 19 load input for part two,,,,,7538424.0,ns,707
day 19 load input for part two,,,,,12366604.0,ns,808
day 19 load input for part two,,,,,8928744.0,ns,909
day 19 load input for part two,,,,,10041342.0,ns,1010
day 19 load input for part two,,,,,10827910.0,ns,1111
day 19 load input for part two,,,,,12075726.0,ns,1212
day 19 load input for part two,,,,,12908254.0,ns,1313
day 19 load input for part two,,,,,13771175.0,ns,1414
day 19 load input for part two,,,,,15077774.0,ns,1515
day 19 load input for part two,,,,,15870636.0,ns,1616
day 19 load input for part two,,,,,16784145.0,ns,1717
day 19 load input for part two,,,,,17746920.0,ns,1818
day 19 load input for part two,,,,,19044311.0,ns,1919
day 19 load input for part two,,,,,19757212.0,ns,2020
day 19 load input for part two,,,,,21198433.0,ns,2121
day 19 load input for part two,,,,,21791382.0,ns,2222
day 19 load input for part two,,,,,23724865.0,ns,2323
day 19 load input for part two,,,,,24047055.0,ns,2424
day 19 load input for part two,,,,,24833835.0,ns,2525
day 19 load input for part two,,,,,25746678.0,ns,2626
day 19 load input for part two,,,,,26628866.0,ns,2727
day 19 load input for part two,,,,,27766394.0,ns,2828
day 19 load input for part two,,,,,28553386.0,ns,2929
day 19 load input for part two,,,,,29685808.0,ns,3030
day 19 load input for part two,,,,,30654736.0,ns,3131
day 19 load input for part two,,,,,31588014.0,ns,3232
day 19 load input for part two,,,,,32618135.0,ns,3333
day 19 load input for part two,,,,,33516571.0,ns,3434
day 19 load input for part two,,,,,34457946.0,ns,3535
day 19 load input for part two,,,,,35619060.0,ns,3636
day 19 load input for part two,,,,,36361444.0,ns,3737
day 19 load input for part two,,,,,37522613.0,ns,3838
day 19 load input for part two,,,,,38354543.0,ns,3939
day 19 load input for part two,,,,,39497575.0,ns,4040
day 19 load input for part two,,,,,40528395.0,ns,4141
day 19 load input for part two,,,,,41373937.0,ns,4242
day 19 load input for part two,,,,,42470060.0,ns,4343
day 19 load input for part two,,,,,43553716.0,ns,4444
day 19 load input for part two,,,,,44361115.0,ns,4545
day 19 load input for part two,,,,,46516020.0,ns,4646
day 19 load input for part two,,,,,46655707.0,ns,4747
day 19 load input for part two,,,,,47349651.0,ns,4848
day 19 load input for part two,,,,,48396916.0,ns,4949
day 19 load input for part two,,,,,49422903.0,ns,5050
day 19 load input for part two,,,,,50276902.0,ns,5151
day 19 load input for part two,,,,,51557378.0,ns,5252
day 19 load input for part two,,,,,52236813.0,ns,5353
day 19 load input for part two,,,,,53420690.0,ns,5454
day 19 load input for part two,,,,,54388024.0,ns,5555
day 19 load input for part two,,,,,55325833.0,ns,5656
day 19 load input for part two,,,,,56486050.0,ns,5757
day 19 load input for part two,,,,,57336461.0,ns,5858
day 19 load input for part two,,,,,58323855.0,ns,5959
day 19 load input for part two,,,,,59925353.0,ns,6060
day 19 load input for part two,,,,,61010897.0,ns,6161
day 19 load input for part two,,,,,61439434.0,ns,6262
day 19 load input for part two,,,,,62437203.0,ns,6363
day 19 load input for part two,,,,,63394536.0,ns,6464
day 19 load input for part two,,,,,64445397.0,ns,6565
day 19 load input for part two,,,,,65167075.0,ns,6666
day 19 load input for part two,,,,,65998291.0,ns,6767
day 19 load input for part two,,,,,67219978.0,ns,6868
day 19 load input for part two,,,,,68003341.0,ns,6969
day 19 load input for part two,,,,,69244193.0,ns,7070
day 19 load input for part two,,,,,70133485.0,ns,7171
day 19 load input for part two,,,,,72093573.0,ns,7272
day 19 load input for part two,,,,,72484623.0,ns,7373
day 19 load input for part two,,,,,73406722.0,ns,7474
day 19 load input for part two,,,,,74347628.0,ns,7575
day 19 load input for part two,,,,,75234694.0,ns,7676
day 19 load input for part two,,,,,75889003.0,ns,7777
day 19 load input for part two,,,,,77123050.0,ns,7878
day 19 load input for part two,,,,,77862245.0,ns,7979
day 19 load input for part two,,,,,78982878.0,ns,8080
day 19 load input for part two,,,,,79865246.0,ns,8181
day 19 load input for part two,,,,,81402828.0,ns,8282
day 19 load input for part two,,,,,82951321.0,ns,8383
day 19 load input for part two,,,,,83285175.0,ns,8484
day 19 load input for part two,,,,,84138815.0,ns,8585
day 19 load input for part two,,,,,85688334.0,ns,8686
day 19 load input for part two,,,,,85881541.0,ns,8787
day 19 load input for part two,,,,,86995474.0,ns,8888
day 19 load input for part two,,,,,87771498.0,ns,8989
day 19 load input for part two,,,,,88834483.0,ns,9090
day 19 load input for part two,,,,,90550176.0,ns,9191
day 19 load input for part two,,,,,91337264.0,ns,9292
day 19 load input for part two,,,,,92241683.0,ns,9393
day 19 load input for part two,,,,,92849402.0,ns,9494
day 19 load input for part two,,,,,94214994.0,ns,9595
day 19 load input for part two,,,,,95280221.0,ns,9696
day 19 load input for part two,,,,,95739617.0,ns,9797
day 19 load input for part two,,,,,96563246.0,ns,9898
day 19 load input for part two,,,,,105012836.0,ns,9999
day 19 load input for part two,,,,,99694950.0,ns,10100
