group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 03 part two,,,,,1043600.0,ns,13
day 03 part two,,,,,2043900.0,ns,26
day 03 part two,,,,,3078100.0,ns,39
day 03 part two,,,,,3991800.0,ns,52
day 03 part two,,,,,4985000.0,ns,65
day 03 part two,,,,,5957300.0,ns,78
day 03 part two,,,,,7286500.0,ns,91
day 03 part two,,,,,7981800.0,ns,104
day 03 part two,,,,,9071400.0,ns,117
day 03 part two,,,,,10107300.0,ns,130
day 03 part two,,,,,11060900.0,ns,143
day 03 part two,,,,,12208700.0,ns,156
day 03 part two,,,,,13514200.0,ns,169
day 03 part two,,,,,14643000.0,ns,182
day 03 part two,,,,,16258100.0,ns,195
day 03 part two,,,,,16678700.0,ns,208
day 03 part two,,,,,17594100.0,ns,221
day 03 part two,,,,,18210400.0,ns,234
day 03 part two,,,,,20873600.0,ns,247
day 03 part two,,,,,22889000.0,ns,260
day 03 part two,,,,,21913500.0,ns,273
day 03 part two,,,,,22667700.0,ns,286
day 03 part two,,,,,23552200.0,ns,299
day 03 part two,,,,,24549200.0,ns,312
day 03 part two,,,,,25133900.0,ns,325
day 03 part two,,,,,26722200.0,ns,338
day 03 part two,,,,,28088200.0,ns,351
day 03 part two,,,,,28587700.0,ns,364
day 03 part two,,,,,29895700.0,ns,377
day 03 part two,,,,,31041600.0,ns,390
day 03 part two,,,,,31372900.0,ns,403
day 03 part two,,,,,32345900.0,ns,416
day 03 part two,,,,,33330600.0,ns,429
day 03 part two,,,,,34285300.0,ns,442
day 03 part two,,,,,35545500.0,ns,455
day 03 part two,,,,,36649500.0,ns,468
day 03 part two,,,,,37246200.0,ns,481
day 03 part two,,,,,38985900.0,ns,494
day 03 part two,,,,,40838400.0,ns,507
day 03 part two,,,,,40312800.0,ns,520
day 03 part two,,,,,41635200.0,ns,533
day 03 part two,,,,,44399300.0,ns,546
day 03 part two,,,,,43821700.0,ns,559
day 03 part two,,,,,45041600.0,ns,572
day 03 part two,,,,,45684600.0,ns,585
day 03 part two,,,,,48837400.0,ns,598
day 03 part two,,,,,48381500.0,ns,611
day 03 part two,,,,,48998800.0,ns,624
day 03 part two,,,,,50510900.0,ns,637
day 03 part two,,,,,50529300.0,ns,650
day 03 part two,,,,,51650500.0,ns,663
day 03 part two,,,,,52770300.0,ns,676
day 03 part two,,,,,53922600.0,ns,689
day 03 part two,,,,,56419900.0,ns,702
day 03 part two,,,,,55787700.0,ns,715
day 03 part two,,,,,57237200.0,ns,728
day 03 part two,,,,,57936000.0,ns,741
day 03 part two,,,,,58331600.0,ns,754
day 03 part two,,,,,59336700.0,ns,767
day 03 part two,,,,,60669800.0,ns,780
day 03 part two,,,,,61658900.0,ns,793
day 03 part two,,,,,63009700.0,ns,806
day 03 part two,,,,,64289200.0,ns,819
day 03 part two,,,,,66214000.0,ns,832
day 03 part two,,,,,65326000.0,ns,845
day 03 part two,,,,,67892700.0,ns,858
day 03 part two,,,,,67785400.0,ns,871
day 03 part two,,,,,68702300.0,ns,884
day 03 part two,,,,,69662700.0,ns,897
day 03 part two,,,,,71386500.0,ns,910
day 03 part two,,,,,71630700.0,ns,923
day 03 part two,,,,,72614000.0,ns,936
day 03 part two,,,,,73586400.0,ns,949
day 03 part two,,,,,78169700.0,ns,962
day 03 part two,,,,,77151100.0,ns,975
day 03 part two,,,,,76451200.0,ns,988
day 03 part two,,,,,77522900.0,ns,1001
day 03 part two,,,,,82897300.0,ns,1014
day 03 part two,,,,,81525000.0,ns,1027
day 03 part two,,,,,81491900.0,ns,1040
day 03 part two,,,,,81974100.0,ns,1053
day 03 part two,,,,,82656800.0,ns,1066
day 03 part two,,,,,84793800.0,ns,1079
day 03 part two,,,,,85744900.0,ns,1092
day 03 part two,,,,,86343700.0,ns,1105
day 03 part two,,,,,86730600.0,ns,1118
day 03 part two,,,,,88366000.0,ns,1131
day 03 part two,,,,,89702100.0,ns,1144
day 03 part two,,,,,89673300.0,ns,1157
day 03 part two,,,,,91340700.0,ns,1170
day 03 part two,,,,,92473100.0,ns,1183
day 03 part two,,,,,94137700.0,ns,1196
day 03 part two,,,,,94674800.0,ns,1209
day 03 part two,,,,,96154400.0,ns,1222
day 03 part two,,,,,95978200.0,ns,1235
day 03 part two,,,,,97139800.0,ns,1248
day 03 part two,,,,,99330200.0,ns,1261
day 03 part two,,,,,99047500.0,ns,1274
day 03 part two,,,,,100290200.0,ns,1287
day 03 part two,,,,,103430700.0,ns,1300
