group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 05 both parts,,,,,1059600.0,ns,5
day 05 both parts,,,,,2174300.0,ns,10
day 05 both parts,,,,,3142100.0,ns,15
day 05 both parts,,,,,4193200.0,ns,20
day 05 both parts,,,,,5242300.0,ns,25
day 05 both parts,,,,,6740700.0,ns,30
day 05 both parts,,,,,7369700.0,ns,35
day 05 both parts,,,,,8485000.0,ns,40
day 05 both parts,,,,,9464400.0,ns,45
day 05 both parts,,,,,11137600.0,ns,50
day 05 both parts,,,,,12133400.0,ns,55
day 05 both parts,,,,,12984100.0,ns,60
day 05 both parts,,,,,13917100.0,ns,65
day 05 both parts,,,,,14798700.0,ns,70
day 05 both parts,,,,,16415400.0,ns,75
day 05 both parts,,,,,17477200.0,ns,80
day 05 both parts,,,,,18055900.0,ns,85
day 05 both parts,,,,,19230000.0,ns,90
day 05 both parts,,,,,20049700.0,ns,95
day 05 both parts,,,,,21646100.0,ns,100
day 05 both parts,,,,,23054000.0,ns,105
day 05 both parts,,,,,23159700.0,ns,110
day 05 both parts,,,,,25460900.0,ns,115
day 05 both parts,,,,,26232400.0,ns,120
day 05 both parts,,,,,28618500.0,ns,125
day 05 both parts,,,,,28553600.0,ns,130
day 05 both parts,,,,,29279900.0,ns,135
day 05 both parts,,,,,30208200.0,ns,140
day 05 both parts,,,,,31486700.0,ns,145
day 05 both parts,,,,,32322400.0,ns,150
day 05 both parts,,,,,33287400.0,ns,155
day 05 both parts,,,,,34290400.0,ns,160
day 05 both parts,,,,,37005800.0,ns,165
day 05 both parts,,,,,36647900.0,ns,170
day 05 both parts,,,,,37943000.0,ns,175
day 05 both parts,,,,,39079800.0,ns,180
day 05 both parts,,,,,39779000.0,ns,185
day 05 both parts,,,,,41410700.0,ns,190
day 05 both parts,,,,,42336800.0,ns,195
day 05 both parts,,,,,43026500.0,ns,200
day 05 both parts,,,,,43913500.0,ns,205
day 05 both parts,,,,,44929200.0,ns,210
day 05 both parts,,,,,46147500.0,ns,215
day 05 both parts,,,,,47129300.0,ns,220
day 05 both parts,,,,,48236600.0,ns,225
day 05 both parts,,,,,49763200.0,ns,230
day 05 both parts,,,,,50455500.0,ns,235
day 05 both parts,,,,,51458800.0,ns,240
day 05 both parts,,,,,52636700.0,ns,245
day 05 both parts,,,,,53770100.0,ns,250
day 05 both parts,,,,,55243900.0,ns,255
day 05 both parts,,,,,55817100.0,ns,260
day 05 both parts,,,,,56570800.0,ns,265
day 05 both parts,,,,,58115200.0,ns,270
day 05 both parts,,,,,59702700.0,ns,275
day 05 both parts,,,,,60501400.0,ns,280
day 05 both parts,,,,,61897200.0,ns,285
day 05 both parts,,,,,62279100.0,ns,290
day 05 both parts,,,,,63286700.0,ns,295
day 05 both parts,,,,,65053900.0,ns,300
day 05 both parts,,,,,64774400.0,ns,305
day 05 both parts,,,,,66396200.0,ns,310
day 05 both parts,,,,,67211700.0,ns,315
day 05 both parts,,,,,68604800.0,ns,320
day 05 both parts,,,,,69324400.0,ns,325
day 05 both parts,,,,,70992000.0,ns,330
day 05 both parts,,,,,71416700.0,ns,335
day 05 both parts,,,,,76701000.0,ns,340
day 05 both parts,,,,,75020600.0,ns,345
day 05 both parts,,,,,77000400.0,ns,350
day 05 both parts,,,,,76439700.0,ns,355
day 05 both parts,,,,,77155100.0,ns,360
day 05 both parts,,,,,78453500.0,ns,365
day 05 both parts,,,,,79221100.0,ns,370
day 05 both parts,,,,,80091000.0,ns,375
day 05 both parts,,,,,81797800.0,ns,380
day 05 both parts,,,,,82186400.0,ns,385
day 05 both parts,,,,,85112300.0,ns,390
day 05 both parts,,,,,84490400.0,ns,395
day 05 both parts,,,,,85675100.0,ns,400
day 05 both parts,,,,,86557100.0,ns,405
day 05 both parts,,,,,89203100.0,ns,410
day 05 both parts,,,,,88976200.0,ns,415
day 05 both parts,,,,,90072400.0,ns,420
day 05 both parts,,,,,91563700.0,ns,425
day 05 both parts,,,,,91417800.0,ns,430
day 05 both parts,,,,,94140200.0,ns,435
day 05 both parts,,,,,94311000.0,ns,440
day 05 both parts,,,,,95025600.0,ns,445
day 05 both parts,,,,,97452600.0,ns,450
day 05 both parts,,,,,96951900.0,ns,455
day 05 both parts,,,,,101075200.0,ns,460
day 05 both parts,,,,,101376700.0,ns,465
day 05 both parts,,,,,102544100.0,ns,470
day 05 both parts,,,,,102045800.0,ns,475
day 05 both parts,,,,,102285900.0,ns,480
day 05 both parts,,,,,103530700.0,ns,485
day 05 both parts,,,,,105166100.0,ns,490
day 05 both parts,,,,,107129900.0,ns,495
day 05 both parts,,,,,109828200.0,ns,500
