group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 08 load input,,,,,1176600.0,ns,8
day 08 load input,,,,,2258100.0,ns,16
day 08 load input,,,,,3318700.0,ns,24
day 08 load input,,,,,4385200.0,ns,32
day 08 load input,,,,,5680800.0,ns,40
day 08 load input,,,,,6645500.0,ns,48
day 08 load input,,,,,7894500.0,ns,56
day 08 load input,,,,,8967900.0,ns,64
day 08 load input,,,,,10088900.0,ns,72
day 08 load input,,,,,11216700.0,ns,80
day 08 load input,,,,,12468800.0,ns,88
day 08 load input,,,,,13407100.0,ns,96
day 08 load input,,,,,14654400.0,ns,104
day 08 load input,,,,,15574100.0,ns,112
day 08 load input,,,,,16814900.0,ns,120
day 08 load input,,,,,17752000.0,ns,128
day 08 load input,,,,,19092900.0,ns,136
day 08 load input,,,,,20316800.0,ns,144
day 08 load input,,,,,21790300.0,ns,152
day 08 load input,,,,,22899600.0,ns,160
day 08 load input,,,,,23513300.0,ns,168
day 08 load input,,,,,24985400.0,ns,176
day 08 load input,,,,,25771300.0,ns,184
day 08 load input,,,,,26427200.0,ns,192
day 08 load input,,,,,28064800.0,ns,200
day 08 load input,,,,,29610900.0,ns,208
day 08 load input,,,,,30032300.0,ns,216
day 08 load input,,,,,31268300.0,ns,224
day 08 load input,,,,,31894900.0,ns,232
day 08 load input,,,,,33228400.0,ns,240
day 08 load input,,,,,35150600.0,ns,248
day 08 load input,,,,,37249300.0,ns,256
day 08 load input,,,,,37110300.0,ns,264
day 08 load input,,,,,37969100.0,ns,272
day 08 load input,,,,,39598600.0,ns,280
day 08 load input,,,,,40609300.0,ns,288
day 08 load input,,,,,43845600.0,ns,296
day 08 load input,,,,,42535400.0,ns,304
day 08 load input,,,,,43758000.0,ns,312
day 08 load input,,,,,44997100.0,ns,320
day 08 load input,,,,,45804900.0,ns,328
day 08 load input,,,,,47055000.0,ns,336
day 08 load input,,,,,47833000.0,ns,344
day 08 load input,,,,,48905300.0,ns,352
day 08 load input,,,,,50246900.0,ns,360
day 08 load input,,,,,51934600.0,ns,368
day 08 load input,,,,,52576800.0,ns,376
day 08 load input,,,,,53390600.0,ns,384
day 08 load input,,,,,54957600.0,ns,392
day 08 load input,,,,,55588100.0,ns,400
day 08 load input,,,,,57003000.0,ns,408
day 08 load input,,,,,57653000.0,ns,416
day 08 load input,,,,,61255500.0,ns,424
day 08 load input,,,,,61329200.0,ns,432
day 08 load input,,,,,61418100.0,ns,440
day 08 load input,,,,,63080400.0,ns,448
day 08 load input,,,,,63926300.0,ns,456
day 08 load input,,,,,64572800.0,ns,464
day 08 load input,,,,,65489300.0,ns,472
day 08 load input,,,,,67402400.0,ns,480
day 08 load input,,,,,68587800.0,ns,488
day 08 load input,,,,,69778500.0,ns,496
day 08 load input,,,,,70593900.0,ns,504
day 08 load input,,,,,70954600.0,ns,512
day 08 load input,,,,,72664000.0,ns,520
day 08 load input,,,,,74318800.0,ns,528
day 08 load input,,,,,73746200.0,ns,536
day 08 load input,,,,,77571000.0,ns,544
day 08 load input,,,,,76469300.0,ns,552
day 08 load input,,,,,79377900.0,ns,560
day 08 load input,,,,,78704700.0,ns,568
day 08 load input,,,,,80643000.0,ns,576
day 08 load input,,,,,81028000.0,ns,584
day 08 load input,,,,,83015800.0,ns,592
day 08 load input,,,,,83982500.0,ns,600
day 08 load input,,,,,84794900.0,ns,608
day 08 load input,,,,,85686800.0,ns,616
day 08 load input,,,,,87505000.0,ns,624
day 08 load input,,,,,88225700.0,ns,632
day 08 load input,,,,,92100600.0,ns,640
day 08 load input,,,,,91294700.0,ns,648
day 08 load input,,,,,92522900.0,ns,656
day 08 load input,,,,,93021700.0,ns,664
day 08 load input,,,,,92888100.0,ns,672
day 08 load input,,,,,95457700.0,ns,680
day 08 load input,,,,,96453900.0,ns,688
day 08 load input,,,,,97044700.0,ns,696
day 08 load input,,,,,98254900.0,ns,704
day 08 load input,,,,,98674000.0,ns,712
day 08 load input,,,,,100012100.0,ns,720
day 08 load input,,,,,104764400.0,ns,728
day 08 load input,,,,,104782100.0,ns,736
day 08 load input,,,,,107953100.0,ns,744
day 08 load input,,,,,108656000.0,ns,752
day 08 load input,,,,,124651900.0,ns,760
day 08 load input,,,,,112387500.0,ns,768
day 08 load input,,,,,112978500.0,ns,776
day 08 load input,,,,,120399700.0,ns,784
day 08 load input,,,,,118571400.0,ns,792
day 08 load input,,,,,119140200.0,ns,800
