group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 09 part two with target included,,,,,1059600.0,ns,10
day 09 part two with target included,,,,,2162200.0,ns,20
day 09 part two with target included,,,,,3038900.0,ns,30
day 09 part two with target included,,,,,4036000.0,ns,40
day 09 part two with target included,,,,,5094600.0,ns,50
day 09 part two with target included,,,,,6202300.0,ns,60
day 09 part two with target included,,,,,7414100.0,ns,70
day 09 part two with target included,,,,,8350300.0,ns,80
day 09 part two with target included,,,,,9254600.0,ns,90
day 09 part two with target included,,,,,10281600.0,ns,100
day 09 part two with target included,,,,,11468000.0,ns,110
day 09 part two with target included,,,,,12702000.0,ns,120
day 09 part two with target included,,,,,13402600.0,ns,130
day 09 part two with target included,,,,,14254300.0,ns,140
day 09 part two with target included,,,,,15276900.0,ns,150
day 09 part two with target included,,,,,16380500.0,ns,160
day 09 part two with target included,,,,,17555200.0,ns,170
day 09 part two with target included,,,,,18608700.0,ns,180
day 09 part two with target included,,,,,19813700.0,ns,190
day 09 part two with target included,,,,,20818800.0,ns,200
day 09 part two with target included,,,,,21909100.0,ns,210
day 09 part two with target included,,,,,22540700.0,ns,220
day 09 part two with target included,,,,,23618200.0,ns,230
day 09 part two with target included,,,,,24435000.0,ns,240
day 09 part two with target included,,,,,25613700.0,ns,250
day 09 part two with target included,,,,,26888400.0,ns,260
day 09 part two with target included,,,,,27841600.0,ns,270
day 09 part two with target included,,,,,28482800.0,ns,280
day 09 part two with target included,,,,,29717400.0,ns,290
day 09 part two with target included,,,,,32031000.0,ns,300
day 09 part two with target included,,,,,32481900.0,ns,310
day 09 part two with target included,,,,,32845000.0,ns,320
day 09 part two with target included,,,,,33667900.0,ns,330
day 09 part two with target included,,,,,34963400.0,ns,340
day 09 part two with target included,,,,,35745700.0,ns,350
day 09 part two with target included,,,,,37125300.0,ns,360
day 09 part two with target included,,,,,38312500.0,ns,370
day 09 part two with target included,,,,,39324400.0,ns,380
day 09 part two with target included,,,,,40319100.0,ns,390
day 09 part two with target included,,,,,40890800.0,ns,400
day 09 part two with target included,,,,,43075500.0,ns,410
day 09 part two with target included,,,,,42813100.0,ns,420
day 09 part two with target included,,,,,44785000.0,ns,430
day 09 part two with target included,,,,,45952600.0,ns,440
day 09 part two with target included,,,,,46857500.0,ns,450
day 09 part two with target included,,,,,46839900.0,ns,460
day 09 part two with target included,,,,,48215500.0,ns,470
day 09 part two with target included,,,,,49350800.0,ns,480
day 09 part two with target included,,,,,50892100.0,ns,490
day 09 part two with target included,,,,,51453100.0,ns,500
day 09 part two with target included,,,,,52375300.0,ns,510
day 09 part two with target included,,,,,53909400.0,ns,520
day 09 part two with target included,,,,,54115000.0,ns,530
day 09 part two with target included,,,,,56869600.0,ns,540
day 09 part two with target included,,,,,56290400.0,ns,550
day 09 part two with target included,,,,,57498800.0,ns,560
day 09 part two with target included,,,,,58540200.0,ns,570
day 09 part two with target included,,,,,60267600.0,ns,580
day 09 part two with target included,,,,,61910200.0,ns,590
day 09 part two with target included,,,,,62770100.0,ns,600
day 09 part two with target included,,,,,63492600.0,ns,610
day 09 part two with target included,,,,,63834000.0,ns,620
day 09 part two with target included,,,,,64990700.0,ns,630
day 09 part two with target included,,,,,65862600.0,ns,640
day 09 part two with target included,,,,,67571000.0,ns,650
day 09 part two with target included,,,,,67950400.0,ns,660
day 09 part two with target included,,,,,69134800.0,ns,670
day 09 part two with target included,,,,,69662900.0,ns,680
day 09 part two with target included,,,,,71493500.0,ns,690
day 09 part two with target included,,,,,72864500.0,ns,700
day 09 part two with target included,,,,,73142500.0,ns,710
day 09 part two with target included,,,,,74344700.0,ns,720
day 09 part two with target included,,,,,75309600.0,ns,730
day 09 part two with target included,,,,,76254100.0,ns,740
day 09 part two with target included,,,,,77436800.0,ns,750
day 09 part two with target included,,,,,78170300.0,ns,760
day 09 part two with target included,,,,,78546500.0,ns,770
day 09 part two with target included,,,,,80341400.0,ns,780
day 09 part two with target included,,,,,81504900.0,ns,790
day 09 part two with target included,,,,,82164900.0,ns,800
day 09 part two with target included,,,,,82872100.0,ns,810
day 09 part two with target included,,,,,85915700.0,ns,820
day 09 part two with target included,,,,,85691400.0,ns,830
day 09 part two with target included,,,,,85780600.0,ns,840
day 09 part two with target included,,,,,87388800.0,ns,850
day 09 part two with target included,,,,,88968300.0,ns,860
day 09 part two with target included,,,,,90540300.0,ns,870
day 09 part two with target included,,,,,92931400.0,ns,880
day 09 part two with target included,,,,,91929000.0,ns,890
day 09 part two with target included,,,,,92953800.0,ns,900
day 09 part two with target included,,,,,93537900.0,ns,910
day 09 part two with target included,,,,,94295400.0,ns,920
day 09 part two with target included,,,,,96244700.0,ns,930
day 09 part two with target included,,,,,97539800.0,ns,940
day 09 part two with target included,,,,,98129700.0,ns,950
day 09 part two with target included,,,,,99122500.0,ns,960
day 09 part two with target included,,,,,101396600.0,ns,970
day 09 part two with target included,,,,,100789800.0,ns,980
day 09 part two with target included,,,,,101776100.0,ns,990
day 09 part two with target included,,,,,103307600.0,ns,1000
