group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 10 load input,,,,,1083400.0,ns,7
day 10 load input,,,,,1967700.0,ns,14
day 10 load input,,,,,3352800.0,ns,21
day 10 load input,,,,,4047100.0,ns,28
day 10 load input,,,,,5268700.0,ns,35
day 10 load input,,,,,6496700.0,ns,42
day 10 load input,,,,,7645400.0,ns,49
day 10 load input,,,,,8113000.0,ns,56
day 10 load input,,,,,9070800.0,ns,63
day 10 load input,,,,,10230100.0,ns,70
day 10 load input,,,,,11868200.0,ns,77
day 10 load input,,,,,12022800.0,ns,84
day 10 load input,,,,,12709200.0,ns,91
day 10 load input,,,,,14372700.0,ns,98
day 10 load input,,,,,14889800.0,ns,105
day 10 load input,,,,,16173900.0,ns,112
day 10 load input,,,,,16696900.0,ns,119
day 10 load input,,,,,18215100.0,ns,126
day 10 load input,,,,,19141000.0,ns,133
day 10 load input,,,,,20549400.0,ns,140
day 10 load input,,,,,20874200.0,ns,147
day 10 load input,,,,,21688700.0,ns,154
day 10 load input,,,,,23358500.0,ns,161
day 10 load input,,,,,24234500.0,ns,168
day 10 load input,,,,,25264400.0,ns,175
day 10 load input,,,,,26425500.0,ns,182
day 10 load input,,,,,26759500.0,ns,189
day 10 load input,,,,,27816000.0,ns,196
day 10 load input,,,,,29036400.0,ns,203
day 10 load input,,,,,29930500.0,ns,210
day 10 load input,,,,,31839000.0,ns,217
day 10 load input,,,,,32215800.0,ns,224
day 10 load input,,,,,33670500.0,ns,231
day 10 load input,,,,,34487400.0,ns,238
day 10 load input,,,,,35399300.0,ns,245
day 10 load input,,,,,36150700.0,ns,252
day 10 load input,,,,,36500400.0,ns,259
day 10 load input,,,,,37782900.0,ns,266
day 10 load input,,,,,38745500.0,ns,273
day 10 load input,,,,,39995800.0,ns,280
day 10 load input,,,,,42079200.0,ns,287
day 10 load input,,,,,42527700.0,ns,294
day 10 load input,,,,,42952500.0,ns,301
day 10 load input,,,,,43422600.0,ns,308
day 10 load input,,,,,45162200.0,ns,315
day 10 load input,,,,,46669200.0,ns,322
day 10 load input,,,,,46635200.0,ns,329
day 10 load input,,,,,48214300.0,ns,336
day 10 load input,,,,,49023900.0,ns,343
day 10 load input,,,,,50010200.0,ns,350
day 10 load input,,,,,50783600.0,ns,357
day 10 load input,,,,,52015500.0,ns,364
day 10 load input,,,,,53291400.0,ns,371
day 10 load input,,,,,54532400.0,ns,378
day 10 load input,,,,,55340500.0,ns,385
day 10 load input,,,,,56754600.0,ns,392
day 10 load input,,,,,56597300.0,ns,399
day 10 load input,,,,,58625400.0,ns,406
day 10 load input,,,,,59562600.0,ns,413
day 10 load input,,,,,59865900.0,ns,420
day 10 load input,,,,,60727900.0,ns,427
day 10 load input,,,,,62534800.0,ns,434
day 10 load input,,,,,63628500.0,ns,441
day 10 load input,,,,,66069200.0,ns,448
day 10 load input,,,,,66739400.0,ns,455
day 10 load input,,,,,66343900.0,ns,462
day 10 load input,,,,,68793700.0,ns,469
day 10 load input,,,,,68299700.0,ns,476
day 10 load input,,,,,69125800.0,ns,483
day 10 load input,,,,,69928100.0,ns,490
day 10 load input,,,,,72415800.0,ns,497
day 10 load input,,,,,72162400.0,ns,504
day 10 load input,,,,,72821300.0,ns,511
day 10 load input,,,,,73778200.0,ns,518
day 10 load input,,,,,74438500.0,ns,525
day 10 load input,,,,,75736300.0,ns,532
day 10 load input,,,,,76882300.0,ns,539
day 10 load input,,,,,78729000.0,ns,546
day 10 load input,,,,,79255100.0,ns,553
day 10 load input,,,,,80101300.0,ns,560
day 10 load input,,,,,81404100.0,ns,567
day 10 load input,,,,,82047900.0,ns,574
day 10 load input,,,,,83108500.0,ns,581
day 10 load input,,,,,86143800.0,ns,588
day 10 load input,,,,,84689600.0,ns,595
day 10 load input,,,,,85349500.0,ns,602
day 10 load input,,,,,87175900.0,ns,609
day 10 load input,,,,,88457700.0,ns,616
day 10 load input,,,,,89237100.0,ns,623
day 10 load input,,,,,90994800.0,ns,630
day 10 load input,,,,,90622100.0,ns,637
day 10 load input,,,,,92744600.0,ns,644
day 10 load input,,,,,92960300.0,ns,651
day 10 load input,,,,,93953000.0,ns,658
day 10 load input,,,,,97907600.0,ns,665
day 10 load input,,,,,95927200.0,ns,672
day 10 load input,,,,,98453700.0,ns,679
day 10 load input,,,,,98585300.0,ns,686
day 10 load input,,,,,102025100.0,ns,693
day 10 load input,,,,,102614300.0,ns,700
