group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 10 part two including part one to find target,,,,,1081200.0,ns,191
day 10 part two including part one to find target,,,,,2035500.0,ns,382
day 10 part two including part one to find target,,,,,3109900.0,ns,573
day 10 part two including part one to find target,,,,,3918300.0,ns,764
day 10 part two including part one to find target,,,,,5043000.0,ns,955
day 10 part two including part one to find target,,,,,5906900.0,ns,1146
day 10 part two including part one to find target,,,,,6768400.0,ns,1337
day 10 part two including part one to find target,,,,,7991400.0,ns,1528
day 10 part two including part one to find target,,,,,9048100.0,ns,1719
day 10 part two including part one to find target,,,,,10056800.0,ns,1910
day 10 part two including part one to find target,,,,,10904000.0,ns,2101
day 10 part two including part one to find target,,,,,11917100.0,ns,2292
day 10 part two including part one to find target,,,,,12849600.0,ns,2483
day 10 part two including part one to find target,,,,,14080700.0,ns,2674
day 10 part two including part one to find target,,,,,14479400.0,ns,2865
day 10 part two including part one to find target,,,,,16109500.0,ns,3056
day 10 part two including part one to find target,,,,,17032700.0,ns,3247
day 10 part two including part one to find target,,,,,18194800.0,ns,3438
day 10 part two including part one to find target,,,,,19065200.0,ns,3629
day 10 part two including part one to find target,,,,,19813300.0,ns,3820
day 10 part two including part one to find target,,,,,21002600.0,ns,4011
day 10 part two including part one to find target,,,,,22338700.0,ns,4202
day 10 part two including part one to find target,,,,,22993600.0,ns,4393
day 10 part two including part one to find target,,,,,23727500.0,ns,4584
day 10 part two including part one to find target,,,,,24880300.0,ns,4775
day 10 part two including part one to find target,,,,,25744200.0,ns,4966
day 10 part two including part one to find target,,,,,26946500.0,ns,5157
day 10 part two including part one to find target,,,,,27564700.0,ns,5348
day 10 part two including part one to find target,,,,,28803800.0,ns,5539
day 10 part two including part one to find target,,,,,29277900.0,ns,5730
day 10 part two including part one to find target,,,,,30726700.0,ns,5921
day 10 part two including part one to find target,,,,,31374900.0,ns,6112
day 10 part two including part one to find target,,,,,32314300.0,ns,6303
day 10 part two including part one to find target,,,,,33973900.0,ns,6494
day 10 part two including part one to find target,,,,,35716500.0,ns,6685
day 10 part two including part one to find target,,,,,35653800.0,ns,6876
day 10 part two including part one to find target,,,,,36683900.0,ns,7067
day 10 part two including part one to find target,,,,,38150700.0,ns,7258
day 10 part two including part one to find target,,,,,38229400.0,ns,7449
day 10 part two including part one to find target,,,,,39725100.0,ns,7640
day 10 part two including part one to find target,,,,,40518900.0,ns,7831
day 10 part two including part one to find target,,,,,41102700.0,ns,8022
day 10 part two including part one to find target,,,,,41776700.0,ns,8213
day 10 part two including part one to find target,,,,,42918600.0,ns,8404
day 10 part two including part one to find target,,,,,44770900.0,ns,8595
day 10 part two including part one to find target,,,,,46255100.0,ns,8786
day 10 part two including part one to find target,,,,,46641900.0,ns,8977
day 10 part two including part one to find target,,,,,47932800.0,ns,9168
day 10 part two including part one to find target,,,,,48279300.0,ns,9359
day 10 part two including part one to find target,,,,,49752600.0,ns,9550
day 10 part two including part one to find target,,,,,50641900.0,ns,9741
day 10 part two including part one to find target,,,,,52103800.0,ns,9932
day 10 part two including part one to find target,,,,,51857600.0,ns,10123
day 10 part two including part one to find target,,,,,53704400.0,ns,10314
day 10 part two including part one to find target,,,,,54905300.0,ns,10505
day 10 part two including part one to find target,,,,,55476800.0,ns,10696
day 10 part two including part one to find target,,,,,57187400.0,ns,10887
