group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 15 part one,,,,,1041775.0,ns,9
day 15 part one,,,,,1993219.0,ns,18
day 15 part one,,,,,2990892.0,ns,27
day 15 part one,,,,,3985101.0,ns,36
day 15 part one,,,,,5389359.0,ns,45
day 15 part one,,,,,6005195.0,ns,54
day 15 part one,,,,,7259783.0,ns,63
day 15 part one,,,,,8057447.0,ns,72
day 15 part one,,,,,9040844.0,ns,81
day 15 part one,,,,,9991112.0,ns,90
day 15 part one,,,,,10983250.0,ns,99
day 15 part one,,,,,12009508.0,ns,108
day 15 part one,,,,,12975678.0,ns,117
day 15 part one,,,,,13955297.0,ns,126
day 15 part one,,,,,14968489.0,ns,135
day 15 part one,,,,,16022736.0,ns,144
day 15 part one,,,,,16987407.0,ns,153
day 15 part one,,,,,17941301.0,ns,162
day 15 part one,,,,,18948026.0,ns,171
day 15 part one,,,,,19979892.0,ns,180
day 15 part one,,,,,21296496.0,ns,189
day 15 part one,,,,,22070442.0,ns,198
day 15 part one,,,,,22930889.0,ns,207
day 15 part one,,,,,23948549.0,ns,216
day 15 part one,,,,,25005028.0,ns,225
day 15 part one,,,,,26171601.0,ns,234
day 15 part one,,,,,26950533.0,ns,243
day 15 part one,,,,,27935295.0,ns,252
day 15 part one,,,,,28933889.0,ns,261
day 15 part one,,,,,29906248.0,ns,270
day 15 part one,,,,,30884873.0,ns,279
day 15 part one,,,,,31905485.0,ns,288
day 15 part one,,,,,32909468.0,ns,297
day 15 part one,,,,,33883212.0,ns,306
day 15 part one,,,,,34930874.0,ns,315
day 15 part one,,,,,35889482.0,ns,324
day 15 part one,,,,,36950264.0,ns,333
day 15 part one,,,,,37889997.0,ns,342
day 15 part one,,,,,38894030.0,ns,351
day 15 part one,,,,,40018315.0,ns,360
day 15 part one,,,,,40870108.0,ns,369
day 15 part one,,,,,41967366.0,ns,378
day 15 part one,,,,,42885747.0,ns,387
day 15 part one,,,,,43903826.0,ns,396
day 15 part one,,,,,45273710.0,ns,405
day 15 part one,,,,,50248841.0,ns,414
day 15 part one,,,,,47077289.0,ns,423
day 15 part one,,,,,47882586.0,ns,432
day 15 part one,,,,,49610325.0,ns,441
day 15 part one,,,,,50315096.0,ns,450
day 15 part one,,,,,51194376.0,ns,459
day 15 part one,,,,,52156982.0,ns,468
day 15 part one,,,,,53225853.0,ns,477
day 15 part one,,,,,54288978.0,ns,486
day 15 part one,,,,,55461494.0,ns,495
day 15 part one,,,,,56366819.0,ns,504
day 15 part one,,,,,57097515.0,ns,513
day 15 part one,,,,,58544868.0,ns,522
day 15 part one,,,,,59248998.0,ns,531
day 15 part one,,,,,60066560.0,ns,540
day 15 part one,,,,,61130093.0,ns,549
day 15 part one,,,,,61886219.0,ns,558
day 15 part one,,,,,62832190.0,ns,567
day 15 part one,,,,,63866733.0,ns,576
day 15 part one,,,,,64770797.0,ns,585
day 15 part one,,,,,65842989.0,ns,594
day 15 part one,,,,,66837501.0,ns,603
day 15 part one,,,,,67774307.0,ns,612
day 15 part one,,,,,68812374.0,ns,621
day 15 part one,,,,,69801522.0,ns,630
day 15 part one,,,,,71215929.0,ns,639
day 15 part one,,,,,71867208.0,ns,648
day 15 part one,,,,,72963442.0,ns,657
day 15 part one,,,,,74232538.0,ns,666
day 15 part one,,,,,74764698.0,ns,675
day 15 part one,,,,,75777821.0,ns,684
day 15 part one,,,,,76755228.0,ns,693
day 15 part one,,,,,77816295.0,ns,702
day 15 part one,,,,,78748531.0,ns,711
day 15 part one,,,,,79778801.0,ns,720
day 15 part one,,,,,81152697.0,ns,729
day 15 part one,,,,,81802489.0,ns,738
day 15 part one,,,,,82977115.0,ns,747
day 15 part one,,,,,83876250.0,ns,756
day 15 part one,,,,,84891728.0,ns,765
day 15 part one,,,,,85863889.0,ns,774
day 15 part one,,,,,86737638.0,ns,783
day 15 part one,,,,,87713646.0,ns,792
day 15 part one,,,,,88734862.0,ns,801
day 15 part one,,,,,90145543.0,ns,810
day 15 part one,,,,,90814762.0,ns,819
day 15 part one,,,,,92306958.0,ns,828
day 15 part one,,,,,92796195.0,ns,837
day 15 part one,,,,,93696221.0,ns,846
day 15 part one,,,,,94743083.0,ns,855
day 15 part one,,,,,95996266.0,ns,864
day 15 part one,,,,,96843566.0,ns,873
day 15 part one,,,,,97834315.0,ns,882
day 15 part one,,,,,99179662.0,ns,891
day 15 part one,,,,,100090571.0,ns,900
