group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 18 part one,,,,,1194944.0,ns,3
day 18 part one,,,,,2340093.0,ns,6
day 18 part one,,,,,3519728.0,ns,9
day 18 part one,,,,,5088411.0,ns,12
day 18 part one,,,,,5844335.0,ns,15
day 18 part one,,,,,7028771.0,ns,18
day 18 part one,,,,,8521777.0,ns,21
day 18 part one,,,,,9438499.0,ns,24
day 18 part one,,,,,10486455.0,ns,27
day 18 part one,,,,,11665707.0,ns,30
day 18 part one,,,,,12805885.0,ns,33
day 18 part one,,,,,14069929.0,ns,36
day 18 part one,,,,,15123439.0,ns,39
day 18 part one,,,,,16360688.0,ns,42
day 18 part one,,,,,17729816.0,ns,45
day 18 part one,,,,,18783434.0,ns,48
day 18 part one,,,,,19851407.0,ns,51
day 18 part one,,,,,20986361.0,ns,54
day 18 part one,,,,,22197893.0,ns,57
day 18 part one,,,,,23340736.0,ns,60
day 18 part one,,,,,24448687.0,ns,63
day 18 part one,,,,,25639688.0,ns,66
day 18 part one,,,,,26839163.0,ns,69
day 18 part one,,,,,28020913.0,ns,72
day 18 part one,,,,,29126069.0,ns,75
day 18 part one,,,,,30368595.0,ns,78
day 18 part one,,,,,31494279.0,ns,81
day 18 part one,,,,,32756478.0,ns,84
day 18 part one,,,,,33800453.0,ns,87
day 18 part one,,,,,34974346.0,ns,90
day 18 part one,,,,,36098575.0,ns,93
day 18 part one,,,,,37264130.0,ns,96
day 18 part one,,,,,38563702.0,ns,99
day 18 part one,,,,,39980224.0,ns,102
day 18 part one,,,,,40816796.0,ns,105
day 18 part one,,,,,41953615.0,ns,108
day 18 part one,,,,,43322165.0,ns,111
day 18 part one,,,,,44334258.0,ns,114
day 18 part one,,,,,45870690.0,ns,117
day 18 part one,,,,,46715733.0,ns,120
day 18 part one,,,,,47835233.0,ns,123
day 18 part one,,,,,48935035.0,ns,126
day 18 part one,,,,,50153862.0,ns,129
day 18 part one,,,,,51279653.0,ns,132
day 18 part one,,,,,52499931.0,ns,135
day 18 part one,,,,,53659361.0,ns,138
day 18 part one,,,,,54746379.0,ns,141
day 18 part one,,,,,55937581.0,ns,144
day 18 part one,,,,,57097009.0,ns,147
day 18 part one,,,,,58753790.0,ns,150
day 18 part one,,,,,59411324.0,ns,153
day 18 part one,,,,,60827654.0,ns,156
day 18 part one,,,,,61771800.0,ns,159
day 18 part one,,,,,62956460.0,ns,162
day 18 part one,,,,,64098792.0,ns,165
day 18 part one,,,,,65285056.0,ns,168
day 18 part one,,,,,66572191.0,ns,171
day 18 part one,,,,,67802291.0,ns,174
day 18 part one,,,,,68727457.0,ns,177
day 18 part one,,,,,70012711.0,ns,180
day 18 part one,,,,,71154655.0,ns,183
day 18 part one,,,,,72844996.0,ns,186
day 18 part one,,,,,73648042.0,ns,189
day 18 part one,,,,,74609409.0,ns,192
day 18 part one,,,,,76074851.0,ns,195
day 18 part one,,,,,76878473.0,ns,198
day 18 part one,,,,,78056739.0,ns,201
day 18 part one,,,,,79274953.0,ns,204
day 18 part one,,,,,80436890.0,ns,207
day 18 part one,,,,,81643807.0,ns,210
day 18 part one,,,,,82742392.0,ns,213
day 18 part one,,,,,84381480.0,ns,216
day 18 part one,,,,,85321687.0,ns,219
day 18 part one,,,,,86313181.0,ns,222
day 18 part one,,,,,87398453.0,ns,225
day 18 part one,,,,,88570021.0,ns,228
day 18 part one,,,,,89744023.0,ns,231
day 18 part one,,,,,91018805.0,ns,234
day 18 part one,,,,,92094295.0,ns,237
day 18 part one,,,,,93268770.0,ns,240
day 18 part one,,,,,94440577.0,ns,243
day 18 part one,,,,,95719036.0,ns,246
day 18 part one,,,,,97271544.0,ns,249
day 18 part one,,,,,97971617.0,ns,252
day 18 part one,,,,,99145130.0,ns,255
day 18 part one,,,,,100191762.0,ns,258
day 18 part one,,,,,101352560.0,ns,261
day 18 part one,,,,,102696860.0,ns,264
day 18 part one,,,,,103739230.0,ns,267
day 18 part one,,,,,105139249.0,ns,270
day 18 part one,,,,,106102844.0,ns,273
day 18 part one,,,,,107375015.0,ns,276
day 18 part one,,,,,108503173.0,ns,279
day 18 part one,,,,,109594571.0,ns,282
day 18 part one,,,,,111109558.0,ns,285
day 18 part one,,,,,111884902.0,ns,288
day 18 part one,,,,,113167806.0,ns,291
day 18 part one,,,,,114253378.0,ns,294
day 18 part one,,,,,115429751.0,ns,297
day 18 part one,,,,,116597464.0,ns,300
