group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 19 part two ,,,,,60574982.0,ns,5
day 19 part two ,,,,,58990388.0,ns,5
day 19 part two ,,,,,58938413.0,ns,5
day 19 part two ,,,,,58848449.0,ns,5
day 19 part two ,,,,,58959209.0,ns,5
day 19 part two ,,,,,59016210.0,ns,5
day 19 part two ,,,,,58876198.0,ns,5
day 19 part two ,,,,,59337086.0,ns,5
day 19 part two ,,,,,59232104.0,ns,5
day 19 part two ,,,,,59519046.0,ns,5
day 19 part two ,,,,,58944508.0,ns,5
day 19 part two ,,,,,58650236.0,ns,5
day 19 part two ,,,,,59146838.0,ns,5
day 19 part two ,,,,,59627227.0,ns,5
day 19 part two ,,,,,59421808.0,ns,5
day 19 part two ,,,,,59490637.0,ns,5
day 19 part two ,,,,,59043921.0,ns,5
day 19 part two ,,,,,58685038.0,ns,5
day 19 part two ,,,,,59150311.0,ns,5
day 19 part two ,,,,,59203213.0,ns,5
day 19 part two ,,,,,59073255.0,ns,5
day 19 part two ,,,,,59568318.0,ns,5
day 19 part two ,,,,,58809059.0,ns,5
day 19 part two ,,,,,58982129.0,ns,5
day 19 part two ,,,,,58796427.0,ns,5
day 19 part two ,,,,,59416073.0,ns,5
day 19 part two ,,,,,60488193.0,ns,5
day 19 part two ,,,,,58827693.0,ns,5
day 19 part two ,,,,,58975973.0,ns,5
day 19 part two ,,,,,59091612.0,ns,5
day 19 part two ,,,,,58855116.0,ns,5
day 19 part two ,,,,,59015088.0,ns,5
day 19 part two ,,,,,58714657.0,ns,5
day 19 part two ,,,,,59817938.0,ns,5
day 19 part two ,,,,,59460526.0,ns,5
day 19 part two ,,,,,59130295.0,ns,5
day 19 part two ,,,,,60628774.0,ns,5
day 19 part two ,,,,,59776010.0,ns,5
day 19 part two ,,,,,59807759.0,ns,5
day 19 part two ,,,,,58975151.0,ns,5
day 19 part two ,,,,,66470748.0,ns,5
day 19 part two ,,,,,59175478.0,ns,5
day 19 part two ,,,,,59563467.0,ns,5
day 19 part two ,,,,,59811348.0,ns,5
day 19 part two ,,,,,59609696.0,ns,5
day 19 part two ,,,,,59520226.0,ns,5
day 19 part two ,,,,,59323348.0,ns,5
day 19 part two ,,,,,60119210.0,ns,5
day 19 part two ,,,,,59528077.0,ns,5
day 19 part two ,,,,,59465473.0,ns,5
day 19 part two ,,,,,59655873.0,ns,5
day 19 part two ,,,,,59454959.0,ns,5
day 19 part two ,,,,,59485135.0,ns,5
day 19 part two ,,,,,59604641.0,ns,5
day 19 part two ,,,,,59513103.0,ns,5
day 19 part two ,,,,,59449025.0,ns,5
day 19 part two ,,,,,60037644.0,ns,5
day 19 part two ,,,,,59230488.0,ns,5
day 19 part two ,,,,,59388840.0,ns,5
day 19 part two ,,,,,59713334.0,ns,5
day 19 part two ,,,,,59401239.0,ns,5
day 19 part two ,,,,,59958832.0,ns,5
day 19 part two ,,,,,59088652.0,ns,5
day 19 part two ,,,,,59425799.0,ns,5
day 19 part two ,,,,,59598558.0,ns,5
day 19 part two ,,,,,60117844.0,ns,5
day 19 part two ,,,,,59903728.0,ns,5
day 19 part two ,,,,,59393575.0,ns,5
day 19 part two ,,,,,59223108.0,ns,5
day 19 part two ,,,,,59009122.0,ns,5
day 19 part two ,,,,,59023565.0,ns,5
day 19 part two ,,,,,59361514.0,ns,5
day 19 part two ,,,,,58905469.0,ns,5
day 19 part two ,,,,,59432950.0,ns,5
day 19 part two ,,,,,59243713.0,ns,5
day 19 part two ,,,,,59290741.0,ns,5
day 19 part two ,,,,,59428895.0,ns,5
day 19 part two ,,,,,59051043.0,ns,5
day 19 part two ,,,,,59334282.0,ns,5
day 19 part two ,,,,,59342235.0,ns,5
day 19 part two ,,,,,59725639.0,ns,5
day 19 part two ,,,,,58860318.0,ns,5
day 19 part two ,,,,,59197614.0,ns,5
day 19 part two ,,,,,58870153.0,ns,5
day 19 part two ,,,,,59750232.0,ns,5
day 19 part two ,,,,,59559314.0,ns,5
day 19 part two ,,,,,59110595.0,ns,5
day 19 part two ,,,,,59581370.0,ns,5
day 19 part two ,,,,,60722940.0,ns,5
day 19 part two ,,,,,58887801.0,ns,5
day 19 part two ,,,,,66468897.0,ns,5
day 19 part two ,,,,,59608030.0,ns,5
day 19 part two ,,,,,59177826.0,ns,5
day 19 part two ,,,,,58954095.0,ns,5
day 19 part two ,,,,,59083079.0,ns,5
day 19 part two ,,,,,59477675.0,ns,5
day 19 part two ,,,,,59306008.0,ns,5
day 19 part two ,,,,,59299833.0,ns,5
day 19 part two ,,,,,59373450.0,ns,5
day 19 part two ,,,,,59073563.0,ns,5
