group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
day 01 part two,,,,,1019411.0,ns,678
day 01 part two,,,,,1872778.0,ns,1356
day 01 part two,,,,,2803433.0,ns,2034
day 01 part two,,,,,3951898.0,ns,2712
day 01 part two,,,,,4815889.0,ns,3390
day 01 part two,,,,,5729771.0,ns,4068
day 01 part two,,,,,6719845.0,ns,4746
day 01 part two,,,,,8181889.0,ns,5424
day 01 part two,,,,,9099492.0,ns,6102
day 01 part two,,,,,10762941.0,ns,6780
day 01 part two,,,,,10982485.0,ns,7458
day 01 part two,,,,,11558780.0,ns,8136
day 01 part two,,,,,12365988.0,ns,8814
day 01 part two,,,,,13514960.0,ns,9492
day 01 part two,,,,,14333532.0,ns,10170
day 01 part two,,,,,15205852.0,ns,10848
day 01 part two,,,,,16052921.0,ns,11526
day 01 part two,,,,,17535310.0,ns,12204
day 01 part two,,,,,18122249.0,ns,12882
day 01 part two,,,,,19270368.0,ns,13560
day 01 part two,,,,,20176476.0,ns,14238
day 01 part two,,,,,21335767.0,ns,14916
day 01 part two,,,,,23641808.0,ns,15594
day 01 part two,,,,,22838458.0,ns,16272
day 01 part two,,,,,26675140.0,ns,16950
day 01 part two,,,,,25609991.0,ns,17628
day 01 part two,,,,,25883426.0,ns,18306
day 01 part two,,,,,27321068.0,ns,18984
day 01 part two,,,,,27700282.0,ns,19662
day 01 part two,,,,,28941487.0,ns,20340
day 01 part two,,,,,30196336.0,ns,21018
day 01 part two,,,,,30664651.0,ns,21696
day 01 part two,,,,,31914962.0,ns,22374
day 01 part two,,,,,33137380.0,ns,23052
day 01 part two,,,,,33645666.0,ns,23730
day 01 part two,,,,,35362323.0,ns,24408
day 01 part two,,,,,35949074.0,ns,25086
day 01 part two,,,,,39553896.0,ns,25764
day 01 part two,,,,,39073252.0,ns,26442
day 01 part two,,,,,38473075.0,ns,27120
day 01 part two,,,,,39587493.0,ns,27798
day 01 part two,,,,,40955553.0,ns,28476
day 01 part two,,,,,41748192.0,ns,29154
day 01 part two,,,,,47489948.0,ns,29832
day 01 part two,,,,,46985756.0,ns,30510
day 01 part two,,,,,45571358.0,ns,31188
day 01 part two,,,,,46780023.0,ns,31866
day 01 part two,,,,,46770840.0,ns,32544
day 01 part two,,,,,47338868.0,ns,33222
day 01 part two,,,,,49784178.0,ns,33900
day 01 part two,,,,,50501360.0,ns,34578
day 01 part two,,,,,50349696.0,ns,35256
day 01 part two,,,,,51439506.0,ns,35934
day 01 part two,,,,,51419526.0,ns,36612
day 01 part two,,,,,53089943.0,ns,37290
day 01 part two,,,,,53692358.0,ns,37968
day 01 part two,,,,,53846117.0,ns,38646
day 01 part two,,,,,54899250.0,ns,39324
day 01 part two,,,,,57572732.0,ns,40002
day 01 part two,,,,,59635417.0,ns,40680
day 01 part two,,,,,59593673.0,ns,41358
day 01 part two,,,,,61986887.0,ns,42036
day 01 part two,,,,,60981389.0,ns,42714
day 01 part two,,,,,61767527.0,ns,43392
day 01 part two,,,,,62064108.0,ns,44070
day 01 part two,,,,,61731888.0,ns,44748
day 01 part two,,,,,64722003.0,ns,45426
day 01 part two,,,,,64356126.0,ns,46104
day 01 part two,,,,,68642288.0,ns,46782
day 01 part two,,,,,67896762.0,ns,47460
day 01 part two,,,,,67919256.0,ns,48138
day 01 part two,,,,,69191323.0,ns,48816
day 01 part two,,,,,71217458.0,ns,49494
day 01 part two,,,,,71589936.0,ns,50172
day 01 part two,,,,,76065791.0,ns,50850
day 01 part two,,,,,72873602.0,ns,51528
day 01 part two,,,,,75642994.0,ns,52206
day 01 part two,,,,,75312321.0,ns,52884
day 01 part two,,,,,76003288.0,ns,53562
day 01 part two,,,,,76002174.0,ns,54240
day 01 part two,,,,,78076712.0,ns,54918
day 01 part two,,,,,78995261.0,ns,55596
day 01 part two,,,,,79461361.0,ns,56274
day 01 part two,,,,,80703607.0,ns,56952
day 01 part two,,,,,80599541.0,ns,57630
day 01 part two,,,,,82988340.0,ns,58308
day 01 part two,,,,,82590149.0,ns,58986
day 01 part two,,,,,86591688.0,ns,59664
day 01 part two,,,,,85345215.0,ns,60342
day 01 part two,,,,,86524800.0,ns,61020
day 01 part two,,,,,86536460.0,ns,61698
day 01 part two,,,,,87966436.0,ns,62376
day 01 part two,,,,,89732978.0,ns,63054
day 01 part two,,,,,92825455.0,ns,63732
day 01 part two,,,,,89681975.0,ns,64410
day 01 part two,,,,,90817298.0,ns,65088
day 01 part two,,,,,93350623.0,ns,65766
day 01 part two,,,,,101525989.0,ns,66444
day 01 part two,,,,,98369254.0,ns,67122
day 01 part two,,,,,97485019.0,ns,67800
